Name,Source,Uses
Adamant / Adamantine,Greek mythology,"As a noun , adamant has long been used to designate any impenetrably or unyieldingly hard substance and , formerly , a legendary stone/rock or mineral of impenetrable hardness and with many other properties , often identified with diamond or lodestone . The English word is used both as a noun and an adjective and is derived from the Latin : adamans , adamantem [ accusative ] referring to the property of impregnable , diamondlike hardness , or to describe a very firm/resolute position , itself from the Greek word adamastos meaning untameable . Diamond is also derived from the same word . Adamant and the literary form adamantine ( utilising the suffix -ine meaning 'of the nature of ' or 'made of ' ) occur in many works . In mythology Kronos was said to have used an adamantine sickle to castrate his father Uranus ; in Prometheus Bound , Prometheus is bound to the rocks in adamantine bonds infrangible , in Virgil 's Aeneid ( in which the gates of Tartarus are protected by columns of solid adamantine ) and in Paradise Lost , in which adamant and adamantine are mentioned eight times to describe the gates of hell , Satan 's shield , fallen angel 's armour and Satan 's chains . In fiction Adamant is referred to in The Faerie Queene , Gulliver 's Travels , A Midsummer Night 's Dream , The Lord of the Rings , His Dark Materials trilogy , and the games Final Fantasy and RuneScape and many more besides . Adamantine is referred to in the film Forbidden Planet ( as adamantine steel ) , in many books such as Mary Shelley 's Mathilda , and Mark Twain 's The Adventures of Tom Sawyer , as well as many games including Dungeons & Dragons . The word adamant is used as the basis for other fictional materials such as Adamantium ( see below ) , Adamantite ( see below ) , Adamantle ( from the Sims ) , and Adiamante ( from L. E. Modesitt Jr. 's 1996 novel of the same name )"
Adamantite,Numerous works,"A metal ore that appears in a number of fictional universes . In Final Fantasy it is a material used to create armour , its source being from another world and its properties including being able to contain great amounts of energy . In World of Warcraft , it is an uncommon ore used to produce weapons and armour of uncommon , rare and epic grade . In the Dark Elf book series by Salvatore set in the Dungeons & Dragons universe it is used to create drow weaponry . It is also used for armour in The Elder Scrolls III , and in the game Terraria it is a red ore used to produce armour and other items besides . The word is an extension of the English noun and adjective adamant ( see entry above ) adding the suffix '-ite ' which is often used to form the names of minerals"
Adamantium,Marvel Comics,"A fictional metal alloy that appears in the Marvel Universe , first appearing in Marvel Comics ' Avengers # 66 ( July 1969 ) , by writer Roy Thomas and artists Barry Windsor-Smith and Syd Shores . Although it is first presented as part of the character Ultron 's outer shell , it is best known as the substance bonded to the character Wolverine 's skeleton and claws . The defining quality of adamantium is its practical indestructibility . Adamantium is not depicted as being a naturally occurring metal but rather as having been inadvertently invented by the fictional American metallurgist Dr. Myron MacLain in an attempt to recreate his prior discovery , a unique alloy of steel and vibranium . Despite its potential applications in armament and armature , adamantium is rarely used due to its high cost and inability to be reshaped . Other forms of adamantium of varying durability are mentioned within the Marvel Universe , including Secondary Adamantium , Adamantium Beta and Carbonadium . Aside from Ultron 's outer shell and Wolverine 's skeleton and claws , Adamantium is associated with a number of other characters and implements including , but not limited to , Bullseye 's spinal column , certain iterations of Captain America 's shield and Lady Deathstrike 's skeleton and talons . The word is an extension of the English noun and adjective adamant ( see entry above ) adding the Neo-Latin '-ium ' to denote a metallic name . Adamantium is also used in the Games Workshop universe of Warhammer 40000 and the MMORPG Maplestory"
Administratium,Scientific in-joke,"First referenced in a 1989 issue of The Physics Teacher . It was apparently discovered by the fictional Thomas Kyle , who was awarded an Ig Nobel Prize for physics for his discovery , and it is a parody on bureaucracy of scientific establishments and on descriptions of newly discovered chemical elements"
Administrontium,Scientific in-joke,Similar to Administratium and a variation of the joke . It was referenced in a 1993 print
Aether,Magic : The Gathering,"A powerful substance in the MtG multiverse that is found on every plane , but abundant on the plane of Kaladesh . It is part of the aethercycle , similar to the water cycle , and can be used to power everything from bikes to colossuses . That is , after it is purified using the new distillation process which separates pure aether and its volatile counterpart , aetherflux . In the MMORPG Final Fantasy XIV , Aether is one of the principle elements of life and magic in the world"
Arenak,E. E. Smith 's SkyLark series,"A synthetic metal made by the Osnomians . Vastly superior to the best steel . Usually transparent , but substances may be added to make it coloured or opaque . Requires salt , which is very rare on Osnome , as a catalyst in its manufacture"
Arsonium,I Expect You to Die,"A green liquid with the symbol Ar and the atomic number 7 that makes a compound that is corrosive to copper when mixed with Galine and Sanite , and a compound that produces clouds when exposed to air when mixed with Regalite"
Atium,Mistborn book series,"A metal that forms the body and power of the shard Ruin . If an Allomancer burns the metal , it allows the user to see a few seconds into the future as a ghostly image overlaid on the present . This allows the user to gain a significant advantage in combat , as it allow them to know every move their opponent will make . This is cancelled out if the opponent burns atium or electrum themselves , as it causes a feedback loop and causes the user to see a mess of possible futures . It is extremely valuable in the Final Empire , as it is both very rare and hoarded by the Lord Ruler . The only place it is found is in the pits of Hathsin , where small nuggets are formed in geodes mined by slaves . Using allomancy near the crystals that form the geodes destroys them . When used by a Feruchemist , it allows them to store age and , if compounded , can result in a complete stop of ageing . Its name comes from the holder of the shard , Ati . in the Wax and Wayne era , no samples exist and it is referred to as 'the lost metal ' . It forms the alloy Malatium , also known as the eleventh metal , a metal that allows the user to see past versions of other people . A misting that burns atium is known as a seer . Hemalurgic effects are unknown"
Australium,Team Fortress 2,"An extremely valuable element appearing in Team Fortress 2 by Valve . In-game , it appears as a special type of weapon , and as the fuel for the rocket in the map SD_Doomsday in the Special Delivery game mode . In the bonus comics featured on the Team Fortress website , their role is fleshed out more ; The Life-Extending machines used by The Administrator , Blutarch , Redmond , and Gray Mann are powered by Australium , and a large part of the plot revolves around hiding the vast stores of Australium Their role in the story is that the material , found in Australia , hence the name Australium , makes one smarter over time , but at the cost of increasing 'manliness and beard levels ' in those who use it . As mentioned above , the name comes from the country of Australia and the Neo-Latin '-ium ' used to denote a metallic name . Its appearance is similar to the real-life element gold"
