Name,Hometown,Elimination
Sreerama Chandra Mynampati,Hyderabad,Winner
Rakesh Maini,Mumbai,1st Runner-up
Bhoomi Trivedi,Gujarat,2nd Runner-up
Swaroop Khan,Rajasthan,Eliminated 10th
Shivam Pathak,Gujarat,Eliminated 9th
Tia Kar,Mumbai,Eliminated 8th
Naushad Ali,Rajasthan,Eliminated 7th
Shashi Suman,Patna,Eliminated 6th
Arpita Khan,West Bengal,Eliminated 5th
Yashraj Kapil,Faridabad,Eliminated 4th
Manisha Karmakar,Kolkata,Eliminated 3rd
Meghna Kumar,Jhansi,Eliminated 2nd
Vishwas Rai,Allahabad,Eliminated 1st
