Year,Title,Role,Notes
1996,Full Circle,Mugger,Television film
1997,Team Knight Rider,Kevin Trek Sanders,Main role
1999-2002,Roswell,Kyle Valenti,Main role Nominated - Teen Choice Awards for Choice Sidekick ( 2002 )
2003,Malcolm in the Middle,Donnie,Episode : Reese 's Party
2004,Tru Calling,Marc Colvin,Episode : D.O.A
2004,North Shore,Justin Silver,Episode : The Big One
2005,Cold Case,Manny,Episode : The Promise
2006,Crossing Jordan,Hooper,Episode : Thin Ice
2006,Vanished,Gabe Barnett,"Episodes : The Velocity of Sara , Warm Springs"
2007-2008,Without a Trace,Joe Guisti,3 episodes
2007,Terminator : The Sarah Connor Chronicles,Deputy Ridge,Episode : Pilot
2009,It 's Always Sunny in Philadelphia,Brad,3 episodes
2009,Past Life,Brian,Episode : Soul Music
2010,Chase,Adam Rothschild,Episode : Above the Law
2011-2015,Revenge,Jack Porter,Main role Nominated - Teen Choice Awards for Choice TV Actor : Drama ( 2013 )
2015,The Player,Nick,4 episodes
2016,Recon,Freddie,Unsold television pilot
2017,Chicago PD,Kenny Rixton,Recurring role ( season 4 )
2017-2018,Dynasty,Matthew Blaisdel,4 episodes
2018,Shades of Blue,Anthony Cole,Recurring role ( season 3 )
