Name,State,Party,# of checks,Months overdue
Tommy F. Robinson,Arkansas,Republican,996,16
Robert J. Mrazek,New York,Democratic,920,23
Robert W. Davis,Michigan,Republican,878,13
Doug Walgren,Pennsylvania,Democratic,858,16
Charles F. Hatcher,Georgia,Democratic,819,35
Stephen J. Solarz,New York,Democratic,743,30
Charles Hayes,Illinois,Democratic,716,15
Ronald D. Coleman,Texas,Democratic,673,23
Carl C. Perkins,Kentucky,Democratic,514,14
Bill Alexander,Arkansas,Democratic,487,18
William F. Goodling,Pennsylvania,Republican,430,9
Ed Towns,New York,Democratic,408,18
Ed Feighan,Ohio,Democratic,397,8
"Harold Ford , Sr",Tennessee,Democratic,743,30
Mickey Edwards,Oklahoma,Republican,386,13
Bill Clay,Missouri,Democratic,328,9
Tony Coelho,California,Democratic,316,12
John Conyers,Michigan,Democratic,273,9
Mary Rose Oakar,Ohio,Democratic,213,18
Joseph D. Early,Massachusetts,Democratic,124,13
