Season,Player,School,Position,Class
1975-76,Ron Lee,Oregon,PG / SG,Senior
1976-77,Marques Johnson *,UCLA,PF,Senior
1977-78,David Greenwood,UCLA,PF,Junior
1978-79,David Greenwood ( 2 ),UCLA,PF,Senior
1979-80,Don Collins,Washington State,SF,Senior
1980-81,Steve Johnson,Oregon State,C,Senior
1981-82,Lester Conner,Oregon State,PG,Senior
1982-83,Kenny Fields,UCLA,SF,Junior
1983-84,A. C. Green,Oregon State,PF,Junior
1984-85,Wayne Carlander,USC,PF,Senior
1985-86,Christian Welp,Washington,C,Junior
1986-87,José Ortiz,Oregon State,C,Senior
1987-88,Sean Elliott,Arizona,SF,Junior
1988-89,Sean Elliott * ( 2 ),Arizona,SF,Senior
1989-90,Gary Payton,Oregon State,PG,Senior
1990-91,Terrell Brandon,Oregon,PG,Junior
1991-92,Harold Miner,USC,SG,Junior
1992-93,Chris Mills,Arizona,SF,Senior
1993-94,Jason Kidd,California,PG,Sophomore
1994-95,Ed O'Bannon *,UCLA,SF,Senior
