Name,Year,Speed,Type of record
Bruce Bursford,1996,334.6 km/h ( 207.9 mph ),"Flat surface ( indoor ) , Virtual motor-paced ( Pedaling on bicycle rollers after being towed to 100 mph )"
Denise Mueller-Korenek,2018,296.009 km/h ( 183.932 mph ),"Flat surface ( outdoor ) , motor-paced"
Fred Rompelberg,1995,268.831 km/h ( 167.044 mph ),"Flat surface ( outdoor ) , motor-paced"
Eric Barone,2017,227.72 km/h ( 141.50 mph ),"Downhill on snow ( outdoor ) , unpaced , on a prototype bicycle"
Eric Barone,2015,223.3 km/h ( 138.8 mph ),"Downhill on snow ( outdoor ) , unpaced , on a prototype bicycle"
Eric Barone,2000,222.22 km/h ( 138.08 mph ),"Downhill on snow ( outdoor ) , unpaced , on a prototype bicycle"
Markus Stöckl,2007,210.4 km/h ( 130.7 mph ),"Downhill on snow ( outdoor ) , unpaced , on a serial production bicycle"
Markus Stöckl,2017,167.6 km/h ( 104.1 mph ),"Downhill on a volcano ( outdoor ) , unpaced , on a serial production bicycle"
Todd Reichert,2016,144.17 km/h ( 89.58 mph ),"Slight downhill ( -0.6% grade ) ( outdoor ) , on a Faired Recumbent , unpaced"
Ilona Peltier,2019,126.52 km/h ( 78.62 mph ),"Slight downhill ( -0.6% grade ) ( outdoor ) , on a Faired Recumbent , unpaced"
