Season,Winner,Runner-up,Third
1984,Venera Chernyshova ( USSR ),Sanna Grønlid ( NOR ),Andrea Grossegger ( AUT )
1985,Sanna Grønlid ( NOR ),Kaija Parve ( USSR ),Venera Chernyshova ( USSR )
1986,Kaija Parve ( USSR ),Nadiya Billova ( USSR ),Eva Korpela ( SWE )
1987,Elena Golovina ( USSR ),Venera Chernyshova ( USSR ),Anne Elvebakk ( NOR )
1988,Petra Schaaf ( FRG ),Eva Korpela ( SWE ),Anne Elvebakk ( NOR )
1989,Anne Elvebakk ( NOR ),Zvetana Krasteva ( BUL ),Natalia Prikazchikova ( USSR )
1990,Anne Elvebakk ( NOR ),Svetlana Davidova ( USSR ),Elin Kristiansen ( NOR )
1991,Grete Ingeborg Nykkelmo ( NOR ),Svetlana Davidova ( USSR ),Elena Golovina ( USSR )
1993,Myriam Bédard ( CAN ),Nadezhda Talanova ( RUS ),Yelena Belova ( RUS )
1995,Anne Briand ( FRA ),Uschi Disl ( GER ),Corinne Niogret ( FRA )
1996,Olga Romasko ( RUS ),Ann-Elen Skjelbreid ( NOR ),Magdalena Wallin ( SWE )
1997,Olga Romasko ( RUS ),Olena Zubrilova ( UKR ),Magdalena Forsberg ( SWE )
1999,Martina Zellner ( GER ),Magdalena Forsberg ( SWE ),Olena Zubrilova ( UKR )
2000,Liv Grete Skjelbreid ( NOR ),Katrin Apel ( GER ),Martina Zellner ( GER )
2001,Kati Wilhelm ( GER ),Uschi Disl ( GER ),Liv Grete Poirée ( NOR )
2003,Sylvie Becaert ( FRA ),Olena Petrova ( UKR ),Kateřina Holubcová ( CZE )
2004,Liv Grete Poirée ( NOR ),Anna Bogaliy ( RUS ),"Martina Glagow ( GER ) , Ekaterina Ivanova ( BLR )"
2005,Uschi Disl ( GER ),Olga Zaitseva ( RUS ),Olena Zubrilova ( BLR )
2007,Magdalena Neuner ( GER ),Anna Carin Olofsson ( SWE ),Natalia Guseva ( RUS )
2008,Andrea Henkel ( GER ),Albina Akhatova ( RUS ),Oksana Khvostenko ( UKR )
