Date,Co-Hosts,Guests/Segments
October 2,Regis Philbin & Kelly Ripa,"Emily Procter , Lorenzo Borghese , Monica"
October 3,Regis Philbin & Kelly Ripa,"Mark Wahlberg , Dominic Monaghan , Top of the Year awards"
October 4,Regis Philbin & Kelly Ripa,"Kate Winslet , Alex Trebek"
October 5,Regis Philbin & Kelly Ripa,"Jo Frost , Jerome Bettis , ophthalmologist Dr. Sandra Belmont"
October 6,Regis Philbin & Kelly Ripa,"Amber Tamblyn , Emeril Lagasse"
October 9,Regis Philbin & Joy Philbin,"Donald Trump , John Cena , James Blunt"
October 10,Regis Philbin & Kelly Ripa,"Robin Williams , Robert Randolph and the Family Band"
October 11,Regis Philbin & Kelly Ripa,"Dana Delany , Sarah Michelle Gellar"
October 12,Regis Philbin & Kelly Ripa,"Christopher Walken , Forest Whitaker , Teddy Geiger"
October 13,Kelly Ripa & Sam Champion,"Jane Krakowski , Frankie J"
October 16,Regis Philbin & Kelly Ripa,Ryan Phillippe
October 17,Regis Philbin & Kelly Ripa,"Kirsten Dunst , Ice-T"
October 18,Regis Philbin & Kelly Ripa,"Tina Fey , JoJo"
October 19,Regis Philbin & Kelly Ripa,"Hugh Jackman , Danity Kane , Regis plays tennis with an 86-year-old opponent"
October 20,Kelly Ripa & Tim Gunn,"Michael Caine , Tim McGraw"
October 23,Regis Philbin & Kelly Ripa,"Annette Bening , Peter Falk"
October 24,Regis Philbin & Kelly Ripa,"Sharon Osbourne , Paula Deen , Miley Cyrus"
October 25,Regis Philbin & Kelly Ripa,"Sarah Jessica Parker , last-minute Halloween costumes"
October 26,Regis Philbin & Kelly Ripa,"James Belushi , The Wiggles"
October 27,Kelly Ripa & Mark Consuelos,"Shannen Doherty , Molly Sims , Halloween party ideas"
