Year,Title,Role
1983,Eddie Macon 's Run,Herbert
1983,The Survivors,Commando
1984,Crackers,Cracker
1984,C.H.U.D,Cop in Diner
1984,Maria 's Lovers,Frank
1984,Revenge of the Nerds,Coach Harris
1985,Sweet Dreams,Otis
1986,True Stories,Louis Fyne
1987,The Big Easy,Det . Andre DeSoto
1987,Raising Arizona,Gale Snoats
1987,Burglar,Det . Nyswander
1988,The Wrong Guys,Duke Earle
1988,Punchline,John Krytsick
1988,Everybody 's All-American,Edward Lawrence
1989,Sea of Love,Det . Sherman Touhey
1989,Always,Al Yackey
1990,Stella,Ed Munn
1990,Arachnophobia,Delbert McClintock
1991,King Ralph,Ralph Hampton Gainesworth Jones
1991,Barton Fink,Charlie Meadows / Karl Mundt
