Title,Release date,Original game publisher
Fatal Fury : Legend of the Hungry Wolf,"December 23 , 1992",SNK
Samurai Shodown : The Motion Picture,"March 4 , 1993",SNK
Fatal Fury 2 : The New Battle,"June 30 , 1993",SNK
Art of Fighting,"December 23 , 1993",SNK
Pokémon : Mewtwo Returns,"December 30 , 2000 ( Japan ) December 4 , 2001 ( North America )",Nintendo
Pokémon : The Legend of Thunder,"December 30 , 2001 ( Japan ) June 3/10 , 2006 ( North America )",Nintendo
House of the Dead 2,"February 11 , 2006",Sega
Pokémon : The Mastermind of Mirage Pokémon,"April 29 , 2006 ( North America ) October 13 , 2006 ( Japan )",Nintendo
Red Faction : Origins,June 2011,THQ
Higurashi no Naku Koro ni Kaku : Outbreak,"August 15 , 2013",07th Expansion
The Gamechangers,"September 15 , 2015",Rockstar Games
