Site,Municipality,Comments
Ishibutai Kofun 石舞台古墳 Ishibutai kofun,Asuka,C7 kofun ; the largest stone weighs over seventy-five tons ; Special Historic Site
Takamatsuzuka Tomb 高松塚古墳 Takamatsuzuka kofun,Asuka,Special Historic Site with National Treasure wall paintings ( detached in 2007 ) and ICP grave goods
Kitora Tomb キトラ古墳 Kitora kofun,Asuka,"Special Historic Site with wall paintings of the four directions and an astronomical chart , also recently detached"
Kawara-dera Site 川原寺跡 Kawaradera ato,Asuka,Historic Site and temple complex with roof tiles that are among the most beautiful ever made in Japan
Daikandai-ji Site 大官大寺跡 Daikandaiji ato,Asuka,Historic Site and precursor to Daian-ji
Asagaotsuka Kofun 牽牛子塚古墳 Asagaotsuka kofun,Asuka,Historic Site with ICP grave goods
Nakaoyama Kofun 中尾山古墳 Nakaoyama kofun,Asuka,Historic Site
Sakafune Ishi Site 酒船石遺跡 Sakafune-ishi iseki,Asuka,Historic Site
Jōrin-ji Site 定林寺跡 Jōrinji ato,Asuka,Historic Site
Asuka-dera Site 飛鳥寺跡 Asukadera ato,Asuka,Historic Site
Tachibana-dera Precinct 橘寺 境内 Tachibanadera keidai,Asuka,Historic Site
Iwayayama Kofun 岩屋山古墳 Iwayayama kofun,Asuka,Historic Site
Itabuki Palace Site 伝飛鳥 板蓋宮 跡 den Asuka Itabuki no miya ato,Asuka,Historic Site and one of the imperial palaces while the capital was at Asuka
Asuka Mizuochi Site 飛鳥水落遺跡 Asuka Mizuochi iseki,Asuka,Historic Site
Inabuchi Palace Site 飛鳥稲淵宮殿跡 Asuka Inabuchi kyūden ato,Asuka,Historic Site
Marukoyama Kofun マルコ山古墳 Marukoyama kofun,Asuka,Historic Site
Asuka Pond Workshop Site 飛鳥池工房遺跡 Asuka-ike kōbō iseki,Asuka,"Historic Site and government workshop , producing items of gold , silver , bronze , and iron , as well as lacquerware ; also a mint"
Hinokuma-dera Site 檜隈寺 跡 Hinokumadera ato,Asuka,"Historic Site and recipient in 686 of a thirty-year maintenance grant of a hundred households , as chronicled in Nihon Shoki"
Asuka Palace Ponds 飛鳥京跡苑池 Asuka-kyō ato enchi,Asuka,"Historic Site and Place of Scenic Beauty , a pair of ponds in gardens extending 80 metres E-W and at least 230 metres N-S and related to the Itabuki Palace"
Oka-dera Site 岡寺跡 Okadera ato,Asuka,Historic Site
