Round,Pick #,Overall,Name,Position,College
2,11,39,Robert Harris,Defensive end,Southern
4,14,98,Roy Barker,Defensive end,North Carolina
5,13,125,Ed McDaniel,Linebacker,Clemson Tigers football
6,12,152,Mike Gaddis,Running back,Oklahoma
7,15,183,David Wilson,Safety,California
8,14,210,Luke Fisher,Tight end,East Carolina
9,3,227,Brad Johnson,Quarterback,Florida State
9,13,237,Ronnie West,Wide receiver,Pittsburg State
10,12,264,Brad Culpepper,Defensive tackle,Florida
11,15,295,Chuck Evans,Fullback,Clark Atlanta
12,14,322,Joe Randolph,Wide receiver,Elon
