City served,Region,ICAO,IATA,Airport name
Bakel,Tambacounda,GOTB,BXE,Bakel Airport
Cap Skirring,Ziguinchor,GOGS,CSK,Cap Skirring Airport
Dakar,Dakar,GOOY,DKR,Léopold Sédar Senghor International Airport
Dakar,Thiès,GOBD,DSS,Blaise Diagne International Airport
Dodji,Louga,GO66,,Dodji Airport
Kaolack,Kaolack,GOOK,KLC,Kaolack Airport
Kédougou,Kédougou,GOTK,KGG,Kédougou Airport
Kolda,Kolda,GODK,KDA,Kolda North Airport ( former ICAO : GOGK )
Linguère,Louga,GOOG,,Linguère Airport
Matam,Matam,GOSM,MAX,Ouro Sogui Airport
Niokolo-Koba,,,NIK,Niokolo-Koba Airport
Podor,Saint-Louis,GOSP,POD,Podor Airport
Richard Toll,Saint-Louis,GOSR,RDT,Richard Toll Airport
Saint-Louis,Saint-Louis,GOSS,XLS,Saint-Louis Airport
Simenti,Tambacounda,GOTS,SMY,Simenti Airport
Tambacounda,Tambacounda,GOTT,TUD,Tambacounda Airport
Ziguinchor,Ziguinchor,GOGG,ZIG,Ziguinchor Airport
