Rank,Athlete,Nationality,Time
1,Florence Kiplagat,Kenya,1:08:24
2,Dire Tune,Ethiopia,1:08:34
3,Peninah Arusei,Kenya,1:09:05
4,Feyse Tadese,Ethiopia,1:09:28
5,Joyce Chepkirui,Kenya,1:09:30
6,Meseret Mengistu,Ethiopia,1:09:31
7,Fate Tola,Ethiopia,1:09:38
8,Zhu Xiaolin,China,1:11:01
9,Yoshimi Ozaki,Japan,1:11:02
10,Ryoko Kizaki,Japan,1:11:03
11,Sarah Chepchirchir,Kenya,1:11:03
12,Nicole Chapple,Australia,1:11:25
13,Azusa Nojiri,Japan,1:11:35
14,Abebech Afework,Ethiopia,1:11:38
15,Hiroko Miyauchi,Japan,1:11:40
16,Helalia Johannes,Namibia,1:11:57
17,Karolina Jarzyńska,Poland,1:12:36
18,Claire Hallissey,Great Britain,1:13:07
19,Stephanie Rothstein,United States,1:13:37
20,Eden Tesfalem,Eritrea,1:13:41
