Original NFL team,Player,Pos,College,Conf
Buffalo Bills,Vernon Turner,RB / WR,Carson-Newman,SAC
Cincinnati Bengals,Todd Philcox,QB,Syracuse,Ind
Cincinnati Bengals,Kirk Scrafford,G,Montana,Big Sky
Dallas Cowboys,Ken Willis,K,Kentucky,SEC
Indianapolis Colts,Tony Siragusa,DT,Pittsburgh,Ind
Indianapolis Colts,Matt Vanderbeek,LB,Michigan State,Big Ten
Kansas City Chiefs,Bryan Barker,P,Santa Clara,WFC
Los Angeles Raiders,Rich Bartlewski,TE,Fresno State,Big West
Los Angeles Rams,Jim Price,TE,Stanford,Pac-10
Miami Dolphins,John Jurkovic,DT,Eastern Illinois,Gateway
Minnesota Vikings,Pat Eilers,S,Notre Dame,Ind . ( I-A )
Minnesota Vikings,John Randle,DT,Texas A & I,Lone Star
New England Patriots,Tim Hauck,S,Montana,Big Sky
New Orleans Saints,Richard Cooper,OT,Tennessee,SEC
New York Giants,Bobby Abrams,LB,Michigan,Big Ten
Philadelphia Eagles,Otis Smith,CB,Missouri,Big Eight
Phoenix Cardinals,Vernice Smith,G,Florida A & M,MEAC
Pittsburgh Steelers,Kimble Anders,FB,Houston,SWC
San Francisco 49ers,Ricky Siglar,OT,San Jose State,Big West
Seattle Seahawks,Derek Loville,RB,Oregon,Pac-10
