Name,Group Level,Improv Type,Location,Date Established
The Comedy Store Players,Professional,Improvisational,"London , England",1985
Improverts,Collegiate,Theatresports,"Edinburgh , Scotland",1989
The Free Association,Professional,Long-form,London,2014
The Oxford Imps,Semi-Professional,Improvisational,"Oxford , England",2003
Showstoppers,Professional,Musical Theatre,"London , England",2008
The Suggestibles,Professional,Improvisational,"Newcastle upon Tyne , England",2001
The Spontaneity Shop,Professional,Multiple,"London , England",1996
The Antics,Collegiate,Shortform,"Sheffield , England",2008
The Maydays,Professional,Longform,"Brighton , England",2003
Mischief Theatre,Professional,Multiple,"London , England",2008
The Blank Slates,Collegiate,Multiple,"London , England",2011
