,Name on the Register,Date listed,Location,City or town,Description
1,Adgate Block,"October 7 , 1982 ( # 82001347 )",300-306 S. Main St. 40°44′13″N 84°06′20″W / 40.736944°N 84.105556°W / 40.736944 ; -84.105556 ( Adgate Block ),Lima,"A business block building , now demolished and replaced with a YMCA"
2,Allen County Courthouse,"July 24 , 1974 ( # 74001392 )",Courthouse Sq . 40°44′34″N 84°06′20″W / 40.742778°N 84.105556°W / 40.742778 ; -84.105556 ( Allen County Courthouse ),Lima,Large Second Empire -style courthouse
3,Armory-Latisona Building,"October 7 , 1982 ( # 82001348 )",440 S. Main St. 40°44′06″N 84°06′19″W / 40.735°N 84.105278°W / 40.735 ; -84.105278 ( Armory-Latisona Building ),Lima,"An armory , converted for civilian purposes"
4,Barr Hotel,"May 15 , 1986 ( # 86001053 )",201-209 E. High and 200-218 N. Union Sts . 40°44′16″N 84°06′11″W / 40.737778°N 84.103056°W / 40.737778 ; -84.103056 ( Barr Hotel ),Lima,A two-part building from Lima 's golden years
5,Griffith Breese Farm,"January 11 , 1983 ( # 83001942 )","2875 Fort Amanda Rd. , southwest of Lima 40°42′18″N 84°09′20″W / 40.704889°N 84.155556°W / 40.704889 ; -84.155556 ( Griffith Breese Farm )",Shawnee Township,"An old farmstead , home to one of the area 's first settlers"
6,Beck and R.C . Cahill Buildings,"October 7 , 1982 ( # 82001349 )",200-206 S. Main St. 40°44′19″N 84°06′19″W / 40.738611°N 84.105278°W / 40.738611 ; -84.105278 ( Beck and R.C . Cahill Buildings ),Lima,"A business block , now demolished and replaced with a parking lot"
7,Dorsey Building,"October 7 , 1982 ( # 82001350 )",208 S. Main St. 40°44′16″N 84°06′20″W / 40.737778°N 84.105556°W / 40.737778 ; -84.105556 ( Dorsey Building ),Lima,"An elaborate stone building , now demolished and replaced with a parking lot"
8,Elks Lodge,"October 7 , 1982 ( # 82001865 )",138 W. North St. 40°44′35″N 84°06′23″W / 40.743056°N 84.106389°W / 40.743056 ; -84.106389 ( Elks Lodge ),Lima,Built for an Elks lodge ; now a church
9,First National Bank and Trust Building,"October 7 , 1982 ( # 82001351 )",43-53 Public Sq . 40°44′24″N 84°06′20″W / 40.74°N 84.105556°W / 40.74 ; -84.105556 ( First National Bank and Trust Building ),Lima,"One of the tallest downtown buildings , constructed shortly before the end of Lima 's golden age"
10,Hotel Argonne,"October 7 , 1982 ( # 82001352 )",201 N. Elizabeth St. 40°44′29″N 84°06′25″W / 40.741389°N 84.106944°W / 40.741389 ; -84.106944 ( Hotel Argonne ),Lima,A ten-story DeCurtins design named for the Meuse-Argonne Offensive
11,Klaus Block,"October 7 , 1982 ( # 82001864 )",401-405 N. Main St. 40°44′39″N 84°06′19″W / 40.744167°N 84.105278°W / 40.744167 ; -84.105278 ( Klaus Block ),Lima,A commercial block ; home to the same business since 1870
12,Lima Cleaning and Pressing Company,"October 7 , 1982 ( # 82001353 )",436-438 S. Main St. 40°44′07″N 84°06′19″W / 40.735278°N 84.105278°W / 40.735278 ; -84.105278 ( Lima Cleaning and Pressing Company ),Lima,A former laundry building ; one of the few historic properties in a decaying neighborhood
13,Lima Memorial Hall,"May 7 , 1979 ( # 79001779 )",W. Elm and S. Elizabeth Sts . 40°44′15″N 84°06′23″W / 40.7375°N 84.106389°W / 40.7375 ; -84.106389 ( Lima Memorial Hall ),Lima,Community center and performance hall
14,Lima Pennsylvania Railroad Passenger Depot,"August 21 , 2003 ( # 03000805 )",424 N. Central Ave. 40°44′42″N 84°06′07″W / 40.745°N 84.101944°W / 40.745 ; -84.101944 ( Lima Pennsylvania Railroad Passenger Depot ),Lima,"A Pennsylvania Railroad station , now used by the city government"
15,Lima Stadium,"March 21 , 2002 ( # 02000219 )",100 S. Calument Ave. and E. Market St. 40°44′23″N 84°05′32″W / 40.739722°N 84.092222°W / 40.739722 ; -84.092222 ( Lima Stadium ),Lima,Football stadium for Lima Senior High School
16,Linneman Building,"October 7 , 1982 ( # 82001867 )",210-212 S. Main St. 40°44′15″N 84°06′20″W / 40.7375°N 84.105556°W / 40.7375 ; -84.105556 ( Linneman Building ),Lima,"A business block , now demolished and replaced with a parking lot"
17,MacDonell House,"September 20 , 1978 ( # 78001999 )",632 W. Market St. 40°44′25″N 84°06′58″W / 40.740278°N 84.116111°W / 40.740278 ; -84.116111 ( MacDonell House ),Lima,Home to the Allen County Museum
18,Marks-Family House,"April 1 , 1982 ( # 82003537 )",233 N. Franklin St. 40°50′39″N 84°20′14″W / 40.844167°N 84.337222°W / 40.844167 ; -84.337222 ( Marks-Family House ),Delphos,A well-preserved Queen Anne residence
19,Martin Block and Kibby Block,"October 7 , 1982 ( # 82001868 )",140-146 S. Main St. 40°44′19″N 84°06′19″W / 40.738611°N 84.105278°W / 40.738611 ; -84.105278 ( Martin Block and Kibby Block ),Lima,A pair of Gothic Revival commercial buildings
20,Metropolitan Block,"November 29 , 1979 ( # 79001780 )",300 N. Main St. 40°44′34″N 84°06′16″W / 40.742778°N 84.104444°W / 40.742778 ; -84.104444 ( Metropolitan Block ),Lima,A turreted Romanesque Revival commercial building
