Name,M,G,Degree,Notes
Wesley Carr,1960,1964,BA Literae Humaniores ( 2nd ),Dean of Westminster Abbey ( 1997-2006 )
Henry Thomas Edwards,1857,1860,BA,Dean of Bangor ( 1876-1884 )
Llewelyn Hughes,1913,1921,BA Modern History,Dean of Ripon ( 1951-1967 )
Ungoed Jacob,1929,1932,BA Modern History ( 2nd ),Dean of Brecon ( 1967-1978 )
Henry James,1882,1886,"BA Literae Humaniores ( 2nd ) ( 1886 ) , MA ( 1891 ) , BD and DD ( 1924 )",Dean of Bangor ( 1934-1940 )
David Jones,1889,1893,BA Theology ( 3rd ),Dean of Llandaff ( 1931-1948 )
William Jones,1919,1922,BA,Dean of Brecon ( 1950-1964 )
Matthew Le Marinel,1902,1904 ?,?,Dean of Jersey ( 1937-1959 )
Llewelyn Lewellin,1818,1827,"BA Literae Humaniores ( 1st , 1822 ) , MA ( 1824 ) , BCL ( 1827 ) , DCL ( 1829 )","First Principal of St David 's College , Lampeter ( 1828-1878 ) , also Dean of St David 's ( 1843-1878 )"
Evan Lewis,1838,1841,"BA ( 1841 ) , MA ( 1863 )","Dean of Bangor ( 1884-1901 ) , and younger brother of David Lewis"
John Lewis,1966 ?,1970,"BA Mathematics ( 1969 ) , Diploma in Applied Statistics ( 1970 )",Dean of Llandaff since 2000
John Pryce,1847,1851,BA,Dean of Bangor ( 1902-1903 )
Edward Roberts,1896,1899 ?,BA,Dean of Brecon ( 1939-1949 )
George Stradling,1638,1640,BA,Dean of Chichester ( 1672-1688 )
James Vincent Vincent ( F ),1811,1815,"BA ( 1815 ) , MA ( 1817 )",Dean of Bangor ( 1862-1876 )
Alex Wedderspoon,1951,1955 ?,"BA Modern History ( 2nd , 1954 ) , BD",Dean of Guildford ( 1987-2001 )
