Team,City,Home venue,Capacity
Black Mambas,Harare,Morris Depot Police Camp,5000
Blue Rangers,Harare,Gwanzura Stadium,10000
Buffaloes,Mutare,Sakubva Stadium,10000
CAPS United,Harare,National Sports Stadium,60000
Chicken Inn,Bulawayo,Luveve Stadium,8000
Dynamos,Harare,Rufaro Stadium,35000
FC Platinum,Zvishavane,Mandava Stadium,3000
Gunners,Mabvuku,Lafarge Stadium,10000
Harare City,Harare,Rufaro Stadium,35000
Hardbody,Gweru,Ascot Stadium,5000
Highlanders,Bulawayo,Barbourfields Stadium,32000
Hwange,Hwange,Colliery Stadium,15000
Monomotapa United,Harare,Gwanzura Stadium,10000
Motor Action,Harare,Motor Action Sports Club,1000
Quelaton,Bulawayo,Luveve Stadium,8000
Shabanie Mine,Zvishavane,Maglas Stadium,5000
