Title,Director,Cast,Genre
The Beast to Die,,,N/A
Cyborg 009 : Legend of the Super Galaxy,Masayuki Akehi,Fuyumi Shiraishi,N/A
Denziman Movie,,,N/A
Disciples of Hippocrates,Kazuki Ōmori,"Masato Furuoya , Ran Ito , Akira Emoto",N/A
Doraemon : Nobita 's Dinosaur,Hiroshi Fukutomi,,
Dreamy Fifteen,Shinji Sōmai,"Shingo Tsurumi , Toshinori Omi , Mariko Ishihara",N/A
"Foster Daddy , Tora !",Yoji Yamada,Kiyoshi Atsumi,N/A
Gamera : Super Monster,Noriaki Yuasa,Mach Fumiake,N/A
Kagemusha,Akira Kurosawa,"Tatsuya Nakadai , Tsutomu Yamazaki , Kenichi Hagiwara",Jidai-geki
Kaigende no yoru,Kosaku Yamashita,"Kōji Tsuruta , Takao Ito , Kanako Higuchi",N/A
Kamen Rider : Eight Rider vs. Galaxy King,,,N/A
Magnitude 7.9,Kenjiro Omori,"Hiroshi Katsuno , Toshiyuki Nagashima , Yumi Takigawa",Disaster film
Makoto-chan,Tsutomu Shibayama,,N/A
Ningyo ga kureta Sakuragai,Sakuro Yasu,"Sumiko Kakizaki , Tsunehiro Arai , Kyoko Iwaki",N/A
Ienakiko,Toru Izusaki,,N/A
An Ocean to Cross,Kei Kumai,"Katsuo Nakmura , Masaaki Daimon , Mitsuo Hamada",N/A
The Old Capital,Kon Ichikawa,"Momoe Yamaguchi , Tomokazu Miura",N/A
Onna no Hosomichi : Nureta Kaikyo,Kazunari Takeda,"Miyako Yamaguchi , Megumi Ogawa , Kan Mikami",Erotic drama
Panda no sekai-Fanfan to nakama tachi,Shiro Nanmura,,Documentary
