Year,Performing artist ( s ),Work,Producer ( s )
1994,Various artists,Aladdin : Original Motion Picture Soundtrack,Alan Menken Tim Rice
1995,Various artists,The Lion King : Original Motion Picture Soundtrack,Mark Mancina Jay Rifkin Chris Thomas Hans Zimmer
1996,Barbara Bailey Hutchison,Sleepy Time Lullabys,J. Aaron Brown David R. Lehman
1997,Linda Ronstadt,Dedicated to the One I Love,George Massenburg Linda Ronstadt
1998,John Denver,All Aboard !,John Denver Roger Nichols Kris O'Connor
1999,Various artists,Elmopalooza !,John Boylan
2000,Various artists,The Adventures of Elmo in Grouchland,Andy Hill
2001,Riders in the Sky,Woody 's Roundup : A Rootin ' Tootin ' Collection of Woody 's Favorite Songs,-
2002,Various artists,Elmo & the Orchestra,Ed Mitchell
2003,Riders in the Sky,"Monsters , Inc . Scream Factory Favorites",-
2004,Cathy Fink & Marcy Marxer,Bon Appétit !,-
2005,Various artists,cELLAbration ! A Tribute to Ella Jenkins,Cathy Fink & Marcy Marxer
2006,Various artists,Songs from the Neighborhood : The Music of Mister Rogers,Dennis Scott
2007,Dan Zanes and Friends,Catch That Train !,-
2008,The Muppets,The Muppets : A Green and Red Christmas,Ted Kryczko Ed Mitchel
2009,They Might Be Giants,Here Come the 123s,Pat Dillett They Might Be Giants
2010,Ziggy Marley,Family Time,Ziggy Marley Don Was
2011,Pete Seeger,Tomorrow 's Children,David Bernz Daniel Einbender Travis Jeffrey
