Building Name,Location,Built
Belleview School,"5343 Southeast Abshier Boulevard. , Belleview , Florida",1928
Emory Bryant House,"101 Lake Wire Drive , Lakeland , Florida",ca . 1923
Building at 106-114 East Main Street,"106-114 East Main Street , Lakeland , Florida",ca . 1925
Donehoo-Brannen House,"Statesboro , Georgia",1917
House at 401 West Peachtree Street,"401 West Peachtree Street , Lakeland , Florida",ca . 1925
LaBelle High School,"150 Curry Street , LaBelle , Florida",1926
Oates Building,"230 South Florida Avenue , Lakeland , Florida",ca . 1925
Old Central Grammar School,"801 Ledwith Avenue , Haines City , Florida",1925
Old Lakeland High School,"400 North Florida Avenue , Lakeland , Florida",ca . 1926
Peabody School,"Herman Avenue , Eastman , Georgia",1938
