#,Artist,Artist 's nationality,Title
1,Avicii featuring Aloe Blacc,Sweden United States,Wake Me Up
2,Robin Thicke featuring T.I . and Pharrell Williams,United States,Blurred Lines
3,will.i.am featuring Britney Spears,United States,Scream & Shout
4,Daft Punk featuring Pharrell Williams,France United States,Get Lucky
5,Passenger,United Kingdom,Let Her Go
6,Macklemore & Ryan Lewis featuring Ray Dalton,United States,Ca n't Hold Us
7,Macklemore & Ryan Lewis featuring Wanz,United States,Thrift Shop
8,Capital Cities,United States,Safe and Sound
9,Imagine Dragons,United States,Radioactive
10,Naughty Boy featuring Sam Smith,United Kingdom,La La La
11,James Arthur,United Kingdom,Impossible
12,Pink featuring Nate Ruess,United States,Just Give Me a Reason
13,Klingande,France,Jubel
14,The Script featuring will.i.am,Ireland United States,Hall of Fame
15,Sido,Germany,Bilder im Kopf
16,Justin Timberlake,United States,Mirrors
17,Sportfreunde Stiller,Germany,"Applaus , Applaus"
18,Avicii featuring Dan Tyminski,Sweden United States,Hey Brother
19,Icona Pop featuring Charli XCX,Sweden United Kingdom,I Love It
20,Olly Murs,United Kingdom,Dear Darlin '
