Stadium,Club ( s ),City,Capacity,Opened
Allianz Field,Minnesota United FC,"Saint Paul , Minnesota","19,400",2019
Audi Field,D.C. United,"Washington , D.C","20,000",2018
BBVA Stadium,Houston Dynamo,"Houston , Texas","22,039",2012
Banc of California Stadium,Los Angeles FC,"Los Angeles , California","22,000",2018
Children 's Mercy Park,Sporting Kansas City,"Kansas City , Kansas","18,467",2011
Dick 's Sporting Goods Park,Colorado Rapids,"Commerce City , Colorado","18,061",2007
Dignity Health Sports Park,LA Galaxy,"Carson , California","27,000",2003
Earthquakes Stadium,San Jose Earthquakes,"San Jose , California","18,000",2015
Exploria Stadium,Orlando City SC,"Orlando , Florida","25,500",2017
Lockhart Stadium,Inter Miami CF,"Fort Lauderdale , Florida","18,000",2019
Mapfre Stadium,Columbus Crew SC,"Columbus , Ohio","19,968",1999
Providence Park,Portland Timbers,"Portland , Oregon","25,218",2011
Red Bull Arena,New York Red Bulls,"Harrison , New Jersey","25,000",2010
Rio Tinto Stadium,Real Salt Lake,"Sandy , Utah","20,213",2008
Saputo Stadium,Montreal Impact,"Montreal , Quebec","20,801",2008
Talen Energy Stadium,Philadelphia Union,"Chester , Pennsylvania","18,500",2010
Toyota Stadium,FC Dallas,"Frisco , Texas","20,500",2005
