Season,Player,Team,Save%,Win #
1982-83,Roland Melanson,New York Islanders,.910,1
1983-84,Roland Melanson,New York Islanders,.903,2
1984-85,Warren Skorodenski,Chicago Black Hawks,.903,1
1985-86,Bob Froese,Philadelphia Flyers,.909,1
1986-87,Ron Hextall,Philadelphia Flyers,.902,1
1987-88,Patrick Roy,Montreal Canadiens,.900,1
1988-89,Patrick Roy,Montreal Canadiens,.908,2
1989-90,Patrick Roy,Montreal Canadiens,.912,3
1990-91,Ed Belfour,Chicago Blackhawks,.910,1
1991-92,Patrick Roy,Montreal Canadiens,.914,4
1992-93,Curtis Joseph,St. Louis Blues,.911,1
1993-94,Dominik Hasek,Buffalo Sabres,.930,1
1994-95 *,Dominik Hasek,Buffalo Sabres,.930,2
1995-96,Dominik Hasek,Buffalo Sabres,.920,3
1996-97,Dominik Hasek,Buffalo Sabres,.930,4
1997-98,Dominik Hasek,Buffalo Sabres,.932,5
1998-99,Dominik Hasek,Buffalo Sabres,.937,6
