Stadium,Capacity,City,Country,Tournament hosted
Sportpaleis,"18,500",Antwerp,Belgium,Diamond Games
Sydney Super Dome,"18,200",Sydney,Australia,Tennis Masters Cup ( 2001 )
Sinan Erdem Dome,"16,410",Istanbul,Turkey,WTA Championships ( 2011-13 )
Connecticut Tennis Center Stadium,"15,000",New Haven,United States,Connecticut Open
Putra Indoor Stadium,"14,500",Kuala Lumpur,Malaysia,ATP Malaysian Open
West Side Tennis Club,"14,000",New York City,United States,US Open ( 1923-1977 ) ; Forest Hills Tennis Classic
Tennis Center at Crandon Park,"13,300",Key Biscayne,United States,Miami Masters ( 1987-2018 )
Hallenstadion,"13,000",Zürich,Switzerland,Zurich Open
Telefónica Arena Madrid,"12,000",Madrid,Spain,Madrid Masters ( 2002-08 ) ; WTA Championships ( 2006-07 )
Netaji Indoor Stadium,"12,000",Kolkata,India,Sunfeast Open
Pavilhão Atlântico,"12,000",Lisbon,Portugal,ATP World Tour Finals ( 2000 )
SCC Peterburgsky,"12,000",St. Petersburg,Russia,St. Petersburg Open ( 1995-2013 ) ; 1991 St. Petersburg Open ( WTA )
IMPACT Arena,"12,000",Bangkok,Thailand,Thailand Open
Spodek,"11,500",Katowice,Poland,Katowice Open
HP Pavilion at San Jose,"11,386","San Jose , California",United States,SAP Open
Indianapolis Tennis Center,"10,000",Indianapolis,United States,Indianapolis Tennis Championships
Maria Esther Bueno Court,"10,000",Rio de Janeiro,Brazil,2016 Summer Olympics
National Tennis Centre,"10,000",Toronto,Canada,Canada Masters
Tokyo Metropolitan Gymnasium,"10,000",Tokyo,Japan,Pan Pacific Open ( 1984-2008 )
Beijing Tennis Center,"10,000",Beijing,China,China Open ( 2004-2008 )
