Member,Electoral district,Party
James Argue,Avondale,Conservative
Robert C. Ennis,Beautiful Plains,Liberal
Charles Mickle,Birtle,Liberal
Stanley McInnis,Brandon City,Conservative
Thomas Greenwood,Brandon North,Liberal-Conservative
Frank Oliver Fowler,Brandon South,Liberal
Martin Jérôme,Carillon,Liberal
George Steel,Cypress,Liberal-Conservative
Theodore Burrows,Dauphin,Liberal
Charles Alexander Young,Deloraine,Liberal
David Henry McFadden,Emerson,Conservative
Baldwin Baldwinson,Gimli,Conservative
Orton Grain,Kildonan and St. Andrews,Liberal-Conservative
George Lawrence,Killarney,Conservative
James McKenzie,Lakeside,Liberal
Tobias Norris,Lansdowne,Liberal
William Lagimodière,La Verendrye,Liberal
James Riddell,Lorne,Liberal
Robert Rogers,Manitou,Conservative
Robert Myers,Minnedosa,Liberal
