Team,Arena,City/Area
Barcelona,Palau Blaugrana,Barcelona
Calafell Tot l'Any,Joan Ortoll,Calafell
Caldes Recam Làser,Torre Roja,Caldes de Montbui
Corredor Mató Palafrugell,Pavelló Municipal,Palafrugell
Deportivo Liceo,Riazor,A Coruña
Garatge Plana Girona,Palau II,Girona
Igualada Rigat,Les Comes,Igualada
Lleida Llista Blava,Onze de Setembre,Lleida
Lloret Vila Esportiva,Pavelló Municipal,Lloret de Mar
Noia Freixenet,Pavelló Olímpic,Sant Sadurní d'Anoia
Reus Deportiu Miró,Pavelló del Reus Deportiu,Reus
Stern Motor Voltregà,Victorià Oliveras de la Riva,Sant Hipòlit de Voltregà
Taradell,El Pujoló,Taradell
Vic,Pavelló Olímpic,Vic
