,Rider,Team,Time
1,Valentin Iglinskiy ( KAZ ),Astana,26h49'23
2,Johnnie Walker ( AUS ),Footon-Servetto-Fuji,+ 17
3,Alexei Markov ( RUS ),Russian Federation ( National team ),+ 18
4,Kiel Reijnen ( USA ),Jelly Belly-Kenda,+ 21
5,Tomasz Marczynski ( POL ),CCC-Polsat-Polkowice,+ 21
6,Matthias Bertling ( GER ),Team Kuota-Indeland,+ 23″
7,Ruslan Tleubayev ( KAZ ),Kazachstan ( National team ),+ 25
8,Yukihiro Doi ( JPN ),Skil-Shimano,+ 27
9,Alexander Schmitt ( GER ),Team Kuota-Indeland,+ 30
10,Volodymyr Bileka ( UKR ),Ukraine ( National team ),+ 30
