Church,Dates,Location,"City , State",Description
Our Lady of Perpetual Help Church,1902 built 1978 NRHP-listed,"St. Mary 's Mountain 35°27′8.33″N 93°45′30.06″W / 35.4523139°N 93.7583500°W / 35.4523139 ; -93.7583500 ( Our Lady of Perpetual Help Church ( Altus , Arkansas ) )","Altus , Arkansas",Brown stone blocks ; Roman Basilical
St. Richard 's Church,built 1992 NRHP-listed,"Jct . of Hickory and Cleveland Sts . 35°18′42″N 91°34′14″W / 35.31167°N 91.57056°W / 35.31167 ; -91.57056 ( St. Richard 's Catholic Church ( Bald Knob , Arkansas ) )","Bald Knob , Arkansas",
St. John the Baptist Church,1929 built 1992 NRHP-listed,"Jct . of New Orleans and W. Ash St. , SW corner 34°53′7″N 91°11′35″W / 34.88528°N 91.19306°W / 34.88528 ; -91.19306 ( St. John the Baptist Catholic Church ( Brinkley , Arkansas ) )","Brinkley , Arkansas",Classical Revival
St. Elizabeth 's Church,1912 built 2009 NRHP-listed,"NE corner of Sycamore and Mason Sts . 34°47′1″N 91°27′34″W / 34.78361°N 91.45944°W / 34.78361 ; -91.45944 ( St. Elizabeth 's Catholic Church ( De Valls Bluff , Arkansas ) )","DeValls Bluff , Arkansas",
St. Mary 's Church,1935-36 built 2007 NRHP-listed,"123 Columbia 34°31′22″N 90°35′31″W / 34.5229°N 90.5920°W / 34.5229 ; -90.5920 ( St. Mary 's Catholic Church ( Helena-West Helena , Arkansas ) )","Helena-West Helena , Arkansas",Launched architectural career of Charles Eames ; Late Gothic Revival
Marylake Carmelite Monastery,1952 built,5151 Marylake Drive 34°32′19.51″N 92°20′26.02″W / 34.5387528°N 92.3405611°W / 34.5387528 ; -92.3405611 ( Marylake Carmelite Monastery ),"Little Rock , Arkansas",Discalced Carmelites
Cathedral of St. Andrew,1881 built 1986 NRHP-listed,"617 South Louisiana Street 34°44′33″N 92°16′20″W / 34.74250°N 92.27222°W / 34.74250 ; -92.27222 ( Cathedral of St. Andrew ( Little Rock , Arkansas ) )","Little Rock , Arkansas",Gothic Revival
St. Edward 's Church,1901 built 1982 NRHP-listed,"823 Sherman 34°44′23″N 92°15′54″W / 34.73972°N 92.26500°W / 34.73972 ; -92.26500 ( St. Edwards Church ( Little Rock , Arkansas ) )","Little Rock , Arkansas",Gothic Revival
St. Agnes Church,built NRHP-listed,"203 Eighth St. 34°35′10.84″N 94°14′34.32″W / 34.5863444°N 94.2428667°W / 34.5863444 ; -94.2428667 ( St. Agnes Catholic Church ( Mena , Arkansas ) )","Mena , Arkansas",
Immaculate Heart of Mary Church,1932 built 1982 NRHP-listed,"North of North Little Rock off Highway 365 34°52′36″N 92°20′32″W / 34.87667°N 92.34222°W / 34.87667 ; -92.34222 ( Immaculate Heart of Mary Church ( North Little Rock , Arkansas ) )","North Little Rock , Arkansas",Gothic Revival
St. Mary 's Church,1935 built 2015 NRHP-listed,"301 W. Highland 36°03′39″N 90°29′15″W / 36.060833°N 90.4875°W / 36.060833 ; -90.4875 ( St. Mary 's Catholic Church ( Paragould , Arkansas ) )","Paragould , Arkansas","Romanesque Revival ; Charles Eames , architect"
St. Anthony 's Church,built 1986 NRHP-listed,"North of Arkansas Highway 22 35°18′48″N 93°52′55″W / 35.31333°N 93.88194°W / 35.31333 ; -93.88194 ( Saint Anthony 's Catholic Church ( Ratcliff , Arkansas ) )","Ratcliff , Arkansas",
St. Joseph Church,1939 built 2006 NRHP-listed,"110 E. Henri de Tonti Blvd . 36°10′43″N 94°14′6″W / 36.17861°N 94.23500°W / 36.17861 ; -94.23500 ( St. Joseph Catholic Church ( Tontitown , Arkansas ) )","Tontitown , Arkansas",Gothic Revival
St. Luke 's Church,1907 built 1998 NRHP-listed,"508 W. Pine 33°37′4″N 92°4′54″W / 33.61778°N 92.08167°W / 33.61778 ; -92.08167 ( St. Luke 's Catholic Church ( Warren , Arkansas ) )","Warren , Arkansas",Gothic Revival
