Dates,Tournament,Location,Winner
March 23-25,Florida 's Natural Charity Classic,Florida,Megan McChrystal ( 1 )
April 20-22,Sara Bay Classic,Florida,Esther Choe ( 1 )
April 27-20,Riviera Nayarit Classic,Mexico,Esther Choe ( 2 )
June 1-3,My Marsh Golf Classic,Indiana,Sara Brown ( 1 )
June 8-10,Ladies Titan Tire Challenge,Iowa,Lauren Doughtie ( 1 )
June 15-17,Tate & Lyle Players Championship,Illinois,Kristie Smith ( 2 )
June 29 - July 1,Island Resort Championship,Michigan,Leah Wigger ( 2 )
July 20-22,Northeast Delta Dental International,New Hampshire,Jenny Gleason ( 3 )
July 27-29,Credit Union Classic,New York,Victoria Elizabeth ( 1 )
August 3-5,The Credit Union Challenge,New York,Jaclyn Sweeney ( 1 )
August 10-12,Four Winds Invitational,Indiana,Julia Boland ( 1 )
August 17-19,Eagle Classic,Virginia,Paola Moreno ( 2 )
August 24-26,Challenge at Musket Ridge,Maryland,Misun Cho ( 3 )
September 14-16,Symetra Classic,North Carolina,Mi Hyang Lee ( 1 )
September 21-23,Vidalia Championship,Georgia,Thidapa Suwannapura ( 1 )
September 28-30,Daytona Beach Invitational,Florida,Daniela Iacobelli ( 1 )
