Team,City,Stadium
América de Cali,Cali,Estadio Olímpico Pascual Guerrero
Atlético Bucaramanga,Bucaramanga,Estadio Alfonso López
Atlético Nacional,Medellín,Estadio Atanasio Girardot
Cúcuta Deportivo,Cúcuta,Estadio General Santander
Deportes Quindío,Armenia,Estadio San José de Armenia
Deportes Tolima,Ibagué,Estadio 10 de Mayo
Deportivo Cali,Cali,Estadio Olímpico Pascual Guerrero
Deportivo Pereira,Pereira,Estadio Alberto Mora Mora
Independiente Medellín,Medellín,Estadio Atanasio Girardot
Millonarios,Bogotá,Estadio El Campín
Once Caldas,Manizales,Estadio Fernando Londoño Londoño
Santa Fe,Bogotá,Estadio El Campín
Unión Magdalena,Santa Marta,Estadio Eduardo Santos
