Name,Current club,Position,Years,Current Status
Curran Singh Ferns,Felda United,MF,2009-2010,Playing
Jamie Maclaren,Darmstadt 98,FW,2009-2010,Playing
Curtis Good,Newcastle United,DF,2009-2010,Playing
Petar Franjic,Avondale,DF,2007-2009,Playing
Kamal Ibrahim,Melbourne Knights,MF,2007-2009,Playing
Bailey Wright,Bristol City,DF,2007-2008,Playing
Matthew Spiranovic,Hangzhou Greentown,DF,2004-2005,Playing
Apostolos Giannou,Guangzhou R & F,FW,2005-2006,Playing
Leigh Broxham,Melbourne Victory,MF,2003-2006,Playing
Kristian Sarkies,Dandenong Thunder,MF,2002-2003,Playing
Adrian Leijer,Suwon FC,DF,2002-2003,Playing
Spase Dilevski,Campbelltown City,DF,2000-2001,Playing
Billy Celeski,Ventforet Kofu,MF,2000-2001,Playing
Simon Storey,-,DF,1997-2000,Retired
Naum Sekulovski,Whittlesea Ranges,MF,1999-2000,Playing
Vince Grella,-,MF,1993-1996,Retired
Levent Osman,-,DF,1994-1996,Retired
Danny Allsopp,-,FW,1994-1995,Retired
Tom Pondeljak,-,MF,1992-1993,Retired
