#,Name,Pos,College,GP,Seasons
60,Vinston Painter,OT,Virginia Tech,5,2016
97,Sterling Palmer,DE,Florida State,49,1993-96
85/86,John Paluck,DE,Pittsburgh,105,"1956 , 1959-65"
-,Oran Pape,RB,Iowa,5,1932
15/22/25,John Papit,RB,Virginia,25,1951-53
32,Jack Pardee,FB / LB,Texas A & M,27,1971-72
27,Ed Parks,OL,Oklahoma State,24,1938-40
24,Lemar Parrish,DB,Lincoln ( MO ),54,1978-81
37,Joe Pasqua,OT,Southern Methodist,9,1943
80,David Patten,WR,Western Carolina,14,2005-06
68,Joe Patton,G,Alabama A & M,61,1994-98
53,Marvcus Patton,LB,UCLA,64,1995-98
84,Niles Paul,WR / TE,Nebraska,82,2011-17
27,Tito Paul,CB,Ohio State,6,1999
82,Logan Paulsen,TE,UCLA,75,2010-15
19,Jim Peebles,E,Vanderbilt,57,"1946-49 , 1951"
95,Daron Payne,DT,Alabama,15,2018- present
56,Dan Peiffer,C,Southeast Missouri State,8,1980
53,Bob Pellegrini,LB,Maryland,48,1962-65
61,Gene Pepper,OL,Missouri,41,1950-53
