No,Position,Player,Nation
3,Defender,Oswaldo Alanís ( on loan from Guadalajara ),Mexico
6,Midfielder,Shea Salinas,United States
7,Forward,Magnus Eriksson,Sweden
8,Forward,Chris Wondolowski ( DP ),United States
9,Forward,Danny Hoesen,Netherlands
10,Forward,Cristian Espinoza ( DP ),Argentina
11,Midfielder,Vako Qazaishvili ( DP ),Georgia
12,Goalkeeper,Matt Bersano,United States
14,Midfielder,Jackson Yueill,United States
15,Defender,Casey Walls ( HG ),United States
17,Goalkeeper,Daniel Vega,Argentina
18,Goalkeeper,JT Marcinkowski ( HG ),United States
19,Midfielder,Siad Haji ( GA ),United States
21,Midfielder,Carlos Fierro,Mexico
22,Defender,Tommy Thompson ( HG ),United States
23,Defender,Florian Jungwirth,Germany
24,Defender,Nick Lima ( HG ),United States
25,Forward,Andrés Ríos,Argentina
26,Midfielder,Eric Calvillo,United States
27,Defender,Marcos López,Peru
