Name,City,Industry
Baptist Health,Jacksonville,healthcare
Clara White Mission,Jacksonville,homelessness
Edward Waters College,Jacksonville,education
Flagler College,St. Augustine,education
Florida Blue Cross,Jacksonville,insurance
Florida State College at Jacksonville,Jacksonville,education
HabiJax,Jacksonville,housing
Hubbard House,Jacksonville,domestic abuse
Jacksonville University,Jacksonville,education
Jessie Ball duPont Fund,Jacksonville,charities
Jones College,Jacksonville,education
Lutheran Social Services Northeast Florida,Jacksonville,social services
Nemours Foundation,Jacksonville,healthcare
PGA Tour,Ponte Vedra Beach,sports ( professional )
Second Harvest North Florida,Jacksonville,hunger
St. Vincent 's HealthCare,Jacksonville,healthcare
Sulzbacher Center,Jacksonville,homelessness
Tom Coughlin Jay Fund Foundation,Ponte Vedra Beach,childhood cancer
UF Health at Jacksonville,Jacksonville,healthcare
University of North Florida,Jacksonville,education
