Year,Athlete,Country/State,Time,Notes
1977,"Rahn , Sharon Sharon Rahn",United States United States ( IL ),3:48:51,
1978,"Shapiro , Susan Susan Shapiro",United States United States ( CA ),3:52:35,
1979,"Bair , Sheryl Sheryl Bair",United States United States ( CA ),3:27:56,
1980,"Limpert , Sharon Sharon Limpert",United States United States ( MN ),2:49:04,
1981,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( NV ),2:38:41,
1982,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( NV ),2:12:43,2nd victory
1983,"Ramsey , Sherry Sherry Ramsey",United States United States ( CO ),2:27:07,
1984,"Ramsey , Sherry Sherry Ramsey",United States United States ( CO ),2:56:51,2nd victory
1985,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( CA ),2:05:26,3rd victory
1986,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( CA ),2:09:28,4th victory
1987,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( CA ),2:19:55,5th victory
1988,"Cable-Brookes , Candace Candace Cable-Brookes",United States United States ( CA ),2:10:44,6th victory
1989,Connie Hansen,Denmark,1:50:06,
1990,Jean Driscoll,United States United States ( IL ),1:43:17,
1991,Jean Driscoll,United States United States ( IL ),1:42:42,2nd victory
1992,Jean Driscoll,United States United States ( IL ),1:36:52,3rd victory
1993,Jean Driscoll,United States United States ( IL ),1:34:50,4th victory
1994,Jean Driscoll,United States United States ( IL ),1:34:22,5th victory
1995,Jean Driscoll,United States United States ( IL ),1:40:42,6th victory
1996,Jean Driscoll,United States United States ( IL ),1:52:56,7th victory
