Season,Winner,Runner-up,Third
1994-95,Sabrina Sadeghi,Annemarie Uliasz,Cammy Potter
1995-96,Carolien van Kilsdonk,Annemarie Uliasz ( 2 ),Lori Glazier
1996-97,Tara Teigen,Sabrina Sadeghi,Maëlle Ricker
1997-98,Doriane Vidal,Sabine Wehr-Hasler,Stine Brun Kjeldaas
1998-99,Tricia Byrnes,Doriane Vidal,Kim Stacey
1999-00,Sabine Wehr-Hasler,Tricia Byrnes,Anna Hellman
2000-01,Sabine Wehr-Hasler ( 2 ),Stine Brun Kjeldaas,Lesley McKenna
2001-02,Nicola Pederzolli,Sabine Wehr-Hasler,Valerie Bourdier
2002-03,Manuela Laura Pesko,Soko Yamaoka,Paulina Ligocka
2003-04,Soko Yamaoka,Torah Bright,Lesley McKenna ( 2 )
2004-05,Melo Imai,Manuela Laura Pesko,Soko Yamaoka
2005-06,Manuela Laura Pesko,Paulina Ligocka,Sophie Rodriguez
2006-07,Manuela Laura Pesko,Holly Crawford,Paulina Ligocka ( 2 )
2007-08,Manuela Laura Pesko ( 4 ),Liu Jiayu,Queralt Castellet
2008-09,Liu Jiayu,Shiho Nakashima,Sophie Rodriguez
2009-10,Cai Xuetong,Sun Zhifeng,Holly Crawford
2010-11,Cai Xuetong,Holly Crawford ( 2 ),Sun Zhifeng
2011-12,Cai Xuetong,Queralt Castellet,Emma Bernard
2012-13,Kelly Clark,Liu Jiayu ( 2 ),Sophie Rodriguez ( 3 )
2013-14,Kelly Clark,Rebecca Sinclair,Rana Okada
