Club,Winners,Runners-up,Winning Seasons
Rapid Wien,32,26,"1912 , 1913 , 1916 , 1917 , 1919 , 1920 , 1921 , 1923 , 1929 , 1930 , 1935 , 1938 , 1940 , 1941 , 1946 , 1948 , 1950-51 , 1951-52 , 1953-54 , 1955-56 , 1956-57 , 1959-60 , 1963-64 , 1966-67 , 1967-68 , 1981-82 , 1982-83 , 1986-87 , 1987-88 , 1995-96 , 2004-05 , 2007-08"
Austria Wien,24,19,"1923-24 , 1925-26 , 1948-49 , 1949-50 , 1952-53 , 1960-61 , 1961-62 , 1962-63 , 1968-69 , 1969-70 , 1975-76 , 1977-78 , 1978-79 , 1979-80 , 1980-81 , 1983-84 , 1984-85 , 1985-86 , 1990-91 , 1991-92 , 1992-93 , 2002-03 , 2005-06 , 2012-13"
Red Bull Salzburg,13,7,"1993-94 , 1994-95 , 1996-97 , 2006-07 , 2008-09 , 2009-10 , 2011-12 , 2013-14 , 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19"
Wacker Innsbruck ( 5 ) ( 4 ) Swarovski Tirol ( 2 ) ( 1 ) Tirol Innsbruck ( 3 ) ( - ),10,5,"1970-71 , 1971-72 , 1972-73 , 1974-75 , 1976-77 , 1988-89 , 1989-90 , 1999-00 , 2000-01 , 2001-02"
SK Admira Wien ( 8 ) ( 5 ) SC Wacker Wien ( 1 ) ( 7 ) Admira Wacker Wien ( - ) ( 1 ) *,9,13,"1926-27 , 1927-28 , 1931-32 , 1933-34 , 1935-36 , 1936-37 , 1938-39 , 1946-47 , 1965-66"
First Vienna,6,6,"1930-31 , 1932-33 , 1941-42 , 1942-43 , 1943-44 , 1954-55"
Wiener SK,3,7,"1921-22 , 1957-58 , 1958-59"
Sturm Graz,3,5,"1997-98 , 1998-99 , 2010-11"
Floridsdorfer AC,1,3,1917-18
Wiener AF,1,2,1913-14
LASK Linz,1,2,1964-65
VÖEST Linz,1,2,1973-74
Grazer AK,1,2,2003-04
Wiener AC,1,1,1914-15
Hakoah Vienna,1,1,1924-25
SpC Rudolfshügel,-,1,-
Brigittenauer AC,-,1,-
FC Wien,-,1,-
SV Ried,-,1,-
