Year,Gold,Silver,Bronze,Host city ( cities ),Host country
2002,Canada,United States,Australia,Rochester,United States
2003,United States,Canada,Czech Republic,Pisek,Czech Republic
2004,Canada,United States,Czech Republic,London,Canada
2005,Canada,United States,France,Paris,France
2006,United States,Canada,France,Detroit,United States
2007,United States,Czech Republic,France,Bilbao,Spain
2008,Czech Republic,Canada,United States,Düsseldorf,Germany
2009,United States,Czech Republic,Canada,Varese,Italy
2010,Czech Republic,Canada,United States,Beroun,Czech Republic
2011,United States,Canada,France,Roccaraso,Italy
2012,Canada,United States,Spain,Bucaramanga,Colombia
2013,United States,Canada,New Zealand,Anaheim,United States
2014,United States,Canada,Spain,Toulouse,France
2015,Czech Republic,United States,Spain,Rosario,Argentina
2016,Canada,United States,France,"Asiago , Roana",Italy
2017,United States,Spain,Canada,Nanjing,China
2018,United States,Czech Republic,Spain,"Asiago , Roana",Italy
2019,United States,Czech Republic,Spain,Barcelona,Spain
2020,,,,Cartagena,Colombia
