Year,Winner,Second,Third
2007,Li Meifang ( CHN ),Ellen van Dijk ( NED ),Belinda Goss ( AUS )
2008,Li Meifang ( CHN ),Meng Lang ( CHN ),Sha Hui ( CHN )
2009,Chloe Hosking ( AUS ),Marlen Jöhrend ( GER ),Zhao Na ( CHN )
2010,Ina-Yoko Teutenberg ( GER ),Kirsten Wild ( NED ),Rochelle Gilmore ( AUS )
2011,Ina-Yoko Teutenberg ( GER ),Annemiek van Vleuten ( NED ),Monia Baccaille ( ITA )
2012,Melissa Hoskins ( AUS ),Monia Baccaille ( ITA ),Liesbet De Vocht ( BEL )
2013,Annette Edmondson ( AUS ),Chloe Hosking ( AUS ),Lucy Garner ( GBR )
2014,Kirsten Wild ( NED ),Shelley Olds ( USA ),Giorgia Bronzini ( ITA )
2015,Kirsten Wild ( NED ),Roxane Fournier ( FRA ),Annalisa Cucinotta ( ITA )
2016,Chloe Hosking ( AUS ),Ting Ying Huang ( TPE ),Leah Kirchmann ( CAN )
2017,Jolien D'Hoore ( BEL ),Kirsten Wild ( NED ),Chloe Hosking ( AUS )
2018,Charlotte Becker ( GER ),Shannon Malseed ( AUS ),Anastasiia Iakovenko ( RUS )
2019,Lorena Wiebes ( NED ),Jutatip Maneephan ( THA ),Lotte Kopecky ( BEL )
