Recording or collection,Performer or agent,Year
The Laughing Song,George W. Johnson,c.1896
They Didnt Believe Me,Harry Macdonough and Alice Green,1915
"Brother , Can You Spare a Dime ? ( Two Versions )",Bing Crosby and Rudy Vallee,1932
Recordings of Kwakwakawakw Chief Dan Cranmer,Franz Boas and George Herzog,1938
Were You There,Roland Hayes,1940
Sammy Goes to the Army,The Goldbergs,"July 9 , 1942"
Caldonia,Louis Jordan and His Tympany Five,1945
Dust My Broom,Elmore James,1951
A Night at Birdland ( Vols . 1 & 2 ),Art Blakey,1954
When I Stop Dreaming,The Louvin Brothers,1955
Cathy 's Clown,The Everly Brothers,1960
Texas Sharecropper and Songster,Mance Lipscomb,1960
The First Family,Vaughn Meader,1962
Lawrence Ritter 's Interviews with Baseball Pioneers of the Late 19th and Early 20th Century,Lawrence Ritter,1962-1966
Presidential Recordings of Lyndon B. Johnson,Lyndon B. Johnson,1963-1969
Carnegie Hall Concert with Buck Owens and His Buckaroos,Buck Owens and His Buckaroos,1966
Fortunate Son,Creedence Clearwater Revival,1969
Shaft,Isaac Hayes,1971
Only Visiting This Planet,Larry Norman,1972
Celia & Johnny,Celia Cruz and Johnny Pacheco,1974
