Date,Opponent,Location,Result,Score,Record
September 25,at Chicago Cardinals,Normal Park,Win,9-0,1-0
October 2,at Green Bay Packers,Green Bay City Stadium,Win,7-6,2-0
October 16,New York Yankees,Wrigley Field,Win,12-0,3-0
October 23,Cleveland Bulldogs,Wrigley Field,Win,14-12,4-0
October 30,Dayton Triangles,Wrigley Field,Win,14-6,5-0
November 6,Providence Steam Roller,Wrigley Field,Tie,0-0,5-0-1
November 8,at New York Yankees,Yankee Stadium,Loss,6-26,5-1-1
November 13,Pottsville Maroons,Wrigley Field,Win,30-12,6-1-1
November 20,Green Bay Packers,Wrigley Field,Win,14-6,7-1-1
November 24,Chicago Cardinals,Wrigley Field,Loss,3-0,7-2-1
November 27,at New York Giants,Polo Grounds,Loss,13-7,7-3-1
December 3,at Frankford Yellowjackets,Shibe Park,Tie,0-0,7-3-2
December 4,Frankford Yellowjackets,Wrigley Field,Win,9-0,8-3-2
December 11,Duluth Eskimos,Wrigley Field,Win,27-14,9-3-2
