Bridge,Carries,Remarks
Cushing Bridge,Blackfoot Trail SE / International Avenue,"Connects Inglewood with Forest Lawn ; named after William Henry Cushing , Calgary mayor from 1900 to 1901"
CPR Bonnybrook Bridge,Canadian Pacific Railway,"Pony truss railroad bridge , connects three main tracks ( P-1 mainline , P-2 lead and Old Ogden lead ) with CPR Alyth Yard . The bridge is partially collapsed after flooding of Bow River in June 2013 . Steel bridge added in 1971. and Old Ogden lead ,"
CNR Bow River Bridge,Canadian National Railway,Through truss bridge has a single track
Bonnybrook Bridge,Ogden Road SE,Vehicular bridge carries Ogden Road and connects Alyth with Foothills Industrial Park
Calf Robe Bridge,Deerfoot Trail,"Connects Deerfoot trail from Glenmore Trail to Peigan Road ; named after Ben Calf Robe , a Siksika chief"
Canadian National Bridge,CN Railway,Connects Canadian Pacific Railway to Canadian National Railway
Graves Bridge,Glenmore Trail,"Connects Alyth to Riverbend and Ogden , leads to Highway 8 east ; twinned in 2009"
Sue Higgins Bridge,Pedestrian,Connects Southland Drive and Acadia to Riverbend
Lafarge Bridge,Road,"Connects Lafarge cement plant to Douglasglen . Damaged in 2005 flood , subsequently removed"
Ivor Strong Bridge,Deerfoot Trail,"Connects Maple Ridge to Douglasdale at the Anderson Road alignment ; named after John Ivor Strong , Chief Commissioner for the City of Calgary from 1965 to 1971"
Douglasdale Park Pedestrian Bridge,Pedestrian,Connects Douglasdale Park to Queensland
McKenzie Pedestrian Bridge,Pedestrian,Connects Deer Ridge with McKenzie Lake
Marquis de Lorne Bridge,Stoney Trail,Connects Marquis de Lorne Trail from Sundance and Chaparral across Fish Creek Provincial Park to McKenzie Lake and Cranston
Dunbow Road Bridge,Highway 2,"Connects Deerfoot Trail to Macleod Trail south of Calgary , between Auburn Bay and Heritage Pointe"
