Track,City,Province,Opened ( closing date if defunct ),Major series,Length
Autodrome Chaudière,Vallée-Jonction 46°22′20″N 70°56′34″W / 46.37222°N 70.94278°W / 46.37222 ; -70.94278 ( Autodrome Chaudière ),Quebec,1992,NASCAR Pinty 's ACT,0.25 miles ( 0.40 km )
Autodrome Montmagny,Montmagny,Quebec,1994,CASCAR ACT,0.375 miles ( 0.604 km )
Autodrome Saguenay Speedway,Chicoutimi,Quebec,1966-2006,CASCAR ACT,0.333 miles ( 0.536 km )
Autodrome St-Eustache,Saint-Eustache,Quebec,,"Serie ACT Castrol , NASCAR Canadian Tire Series",0.4 miles ( 0.64 km )
Barrie Speedway,Barrie 44°28′38″N 79°30′54″W / 44.47722°N 79.51500°W / 44.47722 ; -79.51500 ( Barrie Speedway ),Ontario,1965-2014,NASCAR Pinty 's CASCAR,0.333 miles ( 0.536 km )
Canadian Motor Speedway,Fort Erie,Ontario,TBD,,0.75 miles ( 1.21 km )
Capital City Speedway,Ottawa 45°14′31″N 75°59′20″W / 45.242°N 75.989°W / 45.242 ; -75.989 ( Capital City Speedway ),Ontario,1961-2014,CASCAR ACT,0.375 miles ( 0.604 km )
Centre for Speed,Shediac,New Brunswick,,"Sportsman , Street Stock , Mini Stock , Four for Fun , Atlantic Open Wheel",0.375 miles ( 0.604 km )
Checker Flag Speedway,Windsor,Ontario,1961-1992,CASCAR,0.375 miles ( 0.604 km )
Circuit Riverside Speedway Ste-Croix,Sainte-Croix 46°37′55″N 71°47′17″W / 46.63194°N 71.78806°W / 46.63194 ; -71.78806 ( Circuit Riverside Speedway Ste-Croix ),Quebec,1971,CASCAR ACT,0.625 miles ( 1.006 km )
Delaware Speedway,Delaware 42°55′49″N 81°25′4″W / 42.93028°N 81.41778°W / 42.93028 ; -81.41778 ( Delaware Speedway ),Ontario,1952,NASCAR Pinty 's NASCAR Modified CASCAR ARCA,0.5 miles ( 0.80 km )
Edmonton International Raceway,Wetaskiwin 52°59′16″N 113°27′8″W / 52.98778°N 113.45222°W / 52.98778 ; -113.45222 ( Edmonton International Raceway ),Alberta,,NASCAR Pinty 's,0.25 miles ( 0.40 km )
Exhibition Stadium,Toronto 43°37′55″N 79°25′4″W / 43.63194°N 79.41778°W / 43.63194 ; -79.41778 ( Exhibition Stadium ),Ontario,"1952-1966 , 1990 , 1997",NASCAR Sprint Cup CASCAR,0.333 miles ( 0.536 km )
Flamboro Speedway,Hamilton 43°19′42″N 80°01′25″W / 43.328234°N 80.023583°W / 43.328234 ; -80.023583 ( Flamboro Speedway ),Ontario,1961,CASCAR,0.375 miles ( 0.604 km )
Full Throttle Motor Speedway,Varney 44°07′31″N 80°48′06″W / 44.12520°N 80.80168°W / 44.12520 ; -80.80168 ( Full Throttle Motor Speedway ),Ontario,1970,,0.25 miles ( 0.40 km )
Grand Bend Speedway,Grand Bend 43°17′28″N 81°43′06″W / 43.2911°N 81.7182°W / 43.2911 ; -81.7182 ( Grand Bend Speedway ),Ontario,,,0.25 miles ( 0.40 km )
Hythe Motor Speedway,Hythe,Alberta,,"I.M.C.A Modifieds , I.M.C.A Stocks , Legends , Mini Stocks , Mini Sprints , Super Trucks",0.375 miles ( 0.604 km )
Jukasa Motor Speedway,Cayuga 42°56′8″N 79°58′0″W / 42.93556°N 79.96667°W / 42.93556 ; -79.96667 ( Cayuga Speedway ),Ontario,"1966-2010 , 2017-",NASCAR Pinty 's NASCAR North CASCAR ARCA ASA,0.625 miles ( 1.006 km )
Kawartha Speedway,Fraserville 44°12′32″N 78°23′30″W / 44.20889°N 78.39167°W / 44.20889 ; -78.39167 ( Kawartha Speedway ),Ontario,1999,NASCAR Pinty 's CASCAR,0.375 miles ( 0.604 km )
Kings Park Speedway,Regina,Saskatchewan,,,0.333 miles ( 0.536 km )
