Year,Title,Role
1986,Impure Thoughts,Patty Stubbs
1988,My Stepmother Is an Alien,Jessie Mills
1998,Dead Man on Campus,Lucy
1999,American Pie,Michelle Flaherty
2000,Boys and Girls,Betty
2001,American Pie 2,Michelle Flaherty
2001,Beyond the City Limits,Lexi
2003,American Wedding,Michelle Flaherty
2006,Date Movie,Julia Jones
2006,Farce of the Penguins,Hottie Penguin
2011,"Love , Wedding , Marriage",Courtney
2012,American Reunion,Michelle Levenstein
2016,Do You Take This Man,Rachael
2018,You Might Be the Killer,Chuck
2020,Flora & Ulysses,Phyllis Buckman
