Club,City,Province,Stadium
Argentino ( M ),Merlo,Buenos Aires,Estadio Juan Carlos Brevia
Argentino ( Q ),Quilmes,Buenos Aires,Estadio Argentino de Quilmes
Berazategui,Berazategui,Buenos Aires,Estadio Norman Lee
Cambaceres,Ensenada,Buenos Aires,Estadio Defensores de Cambaceres
Central Córdoba ( R ),Rosario,Santa Fe,Estadio Gabino Sosa
Defensores Unidos,Zárate,Buenos Aires,Estadio Defensores Unidos
Deportivo Laferrere,Gregorio de Lafèrrere,Buenos Aires,Estadio Deportivo Laferrere
Deportivo Riestra,Buenos Aires,( autonomous city ),Estadio Guillermo Laza
Dock Sud,Dock Sud,Buenos Aires,Estadio de Los Inmigrantes
Excursionistas,Buenos Aires,( autonomous city ),Estadio Excursionistas
Flandria,Jáuregui,Buenos Aires,Estadio Carlos V
Ferrocarril Midland,Libertad,Buenos Aires,Estadio Ferrocarril Midland
General Lamadrid,Buenos Aires,( autonomous city ),Estadio Enrique Sexto
J. J. de Urquiza,Loma Hermosa,Buenos Aires,Estadio Ramón la Cueva
Juventud Unida,San Miguel,Buenos Aires,Estadio Franco Murggieri
Luján,Luján,Buenos Aires,Campo Municipal de Deportes
Sacachispas,Buenos Aires,( autonomous city ),Estadio Beto Larossa
San Telmo,Dock Sud,Buenos Aires,Estadio Dr. Osvaldo Baletto
Talleres ( RE ),Remedios de Escalada,Buenos Aires,Estadio Talleres de Remedios de Escalada
