No,Position,Player,Nation
1,Goalkeeper,David Jensen,Denmark
3,Defender,Amro Tarek,Egypt
6,Defender,Kyle Duncan,United States
8,Midfielder,Jared Stroud,United States
10,Midfielder,Alejandro Gamarra ( DP ),Paraguay
15,Defender,Sean Nealis,United States
17,Midfielder,Ben Mines ( HG ),United States
18,Goalkeeper,Ryan Meara,United States
19,Midfielder,Alex Muyl ( HG ),United States
20,Midfielder,Josh Sims ( DP ; on loan from Southampton ),England
21,Midfielder,Omir Fernandez ( HG ),United States
22,Midfielder,Florian Valot,France
23,Midfielder,Cristian Cásseres,Venezuela
25,Forward,Mathias Jørgensen,Denmark
26,Defender,Tim Parker,United States
27,Midfielder,Sean Davis ( HG ),United States
33,Defender,Aaron Long,United States
39,Defender,Mandela Egbo,England
40,Goalkeeper,Kendall McIntosh,United States
42,Forward,Brian White,United States
