Pos,No,Team,Driver,Car,Time
Pole,43,V.I.P . Petfoods,Jim Richards,Porsche 996 GT3,1:16.9760
2,64,Prancing Horse Racing,John Bowe,Ferrari 360 Challenge,1:17.3195
3,54,Prancing Horse Racing,Paul Morris,Ferrari 360 Challenge,1:17.9148
4,22,Tekno Autosports,Neal Bates,Porsche 996 GT3,1:18.0764
5,24,Prancing Horse Racing,Craig Baird,Ferrari 360 Challenge,1:18.1601
6,666,Team Lamborghini Australia,Paul Stokell,Lamborghini Diablo GTR,1:18.3006
7,8,Superrint Yokohama,Mike Downard,Porsche 996 GT3,1:20.9100
8,20,Poolrite,Ian Palmer,Honda NSX Brabham,1:22.3584
9,18,Murray Carter,Murray Carter,Chevrolet Corvette C5,1:23.2543
10,7,D'arcy Russell Racing,D'arcy Russell,Chrysler Viper ACR,1:25.7557
