Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Chicago Fire,Carlos de los Cobos,Brian McBride,Adidas,Best Buy
Chivas USA,Martin Vasquez,Jonathan Bornstein,Adidas,Comex
Colorado Rapids,Gary Smith,Pablo Mastroeni,Adidas,
Columbus Crew,Robert Warzycha,Frankie Hejduk,Adidas,Glidden
D.C. United,Ben Olsen,Jaime Moreno,Adidas,Volkswagen
FC Dallas,Schellas Hyndman,Daniel Hernández,Adidas,
Houston Dynamo,Dominic Kinnear,Brian Ching,Adidas,Amigo Energy
Kansas City Wizards,Peter Vermes,Davy Arnaud,Adidas,
L.A. Galaxy,Bruce Arena,Landon Donovan,Adidas,Herbalife
New England Revolution,Steve Nicol,Shalrie Joseph,Adidas,
New York Red Bulls,Hans Backe,Juan Pablo Ángel,Adidas,Red Bull
Philadelphia Union,Piotr Nowak,Danny Califf,Adidas,
Real Salt Lake,Jason Kreis,Kyle Beckerman,Adidas,XanGo
San Jose Earthquakes,Frank Yallop,Ramiro Corrales,Adidas,Amway Global
Seattle Sounders FC,Sigi Schmid,Kasey Keller,Adidas,Xbox LIVE
Toronto FC,Nick Dasovic,Dwayne De Rosario,Adidas,BMO
