Title,Director,Cast
20:30:40,Sylvia Chang,
36th Chamber Of Southern Shaolin,Yuen Cheung,
Anna In Kung Fu-Land,Raymond Yip,
Aqua Heroes,Armed Reaction IV,
The Beast Of Tutor,Ma Sau Hing,
Belly of the Beast,Tony Ching,Steven Seagal
Black Cat Agent Files,Tin Jun,
Black Mask Vs Gambling Mastermind,Lee Bing Kwong,
Colour of Sound,Joe Ma,"Tony Leung , Miriam Yeung , Chen Chang"
Colours of the Truth,"Wong Jing , Marco Mak","Anthony Wong , Lau Ching Wan , Jordan Chan , Francis Ng , Raymond Wong Ho-yin , Gillian Chung , Patrick Tse , Chapman To , Terence Yin"
Dragon Loaded 2003,Vincent Kok,"Eric Tsang , Ronald Cheng"
Heroic Duo,Benny Chan,"Leon Lai , Ekin Cheng , Francis Ng , Karena Lam , Xu Jinglei"
Infernal Affairs II,"Andrew Lau , Alan Mak","Anthony Wong , Eric Tsang , Edison Chen , Shawn Yue , Carina Lau , Francis Ng , Hu Jun , Chapman To , Liu Kai Chi , Roy Cheung"
Infernal Affairs III,"Andrew Lau , Alan Mak","Andy Lau , Tony Leung Chiu-Wai , Leon Lai , Chen Daoming , Kelly Chen , Anthony Wong , Eric Tsang , Chapman To , Ng Ting Yip"
Kidnap the Wrong Person,Aman Chang,"Michael Tse , Michael Tao , Mark Cheng"
Laughter of Water Margin - Stolen Golden Ball,,"Angie Cheung , Loletta Lee , Wayne Lai , Wang Xi"
The Legend of Ghost Festival,Kenneth Lau,Wayne Lai
