Player,Date of Birth,Batting Style,Bowling Style
Duncan Fletcher ( c ),27 September 1948,Left-hand,Right arm fast-medium
Robin Brown,11 March 1951,Right-hand,Right-arm medium
Iain Butchart,9 May 1960,Right-hand,Right-arm medium
Kevin Curran,7 September 1959,Right-handed,Right-arm fast medium
Jack Heron,8 November 1948,Right-hand,Right-arm medium
Graeme Hick,23 May 1966,Right hand,Right arm off break
Vince Hogg,3 July 1952,Right-hand,Right-arm medium-fast
David Houghton ( wk ),23 June 1957,Right-hand,Right-arm off break
Grant Paterson,9 June 1960,Right-hand,Right-arm off-spin
Gerald Peckover,2 June 1955,Right-handed,-
Andrew Pycroft,6 June 1956,Right-hand,Right-arm offbreak
Peter Rawson,25 May 1957,Right-hand,Right-arm medium-fast
Ali Shah,7 August 1959,Left-hand,Right arm medium
John Traicos,17 May 1947,Right-hand,Right arm off-spin
