Couple,Score,Dance,Music,Film/Theme,Result
Leah & Tony,"24 ( 8 , 8 , 8 )",Rumba,Skyfall - Adele,Skyfall,Safe
Corbin & Karina,"26 ( 9 , 8 , 9 )",Quickstep,Diga Diga Doo - Duke Ellington,Old Hollywood,Safe
Elizabeth & Val,"25 ( 8 , 9 , 8 )",Foxtrot,Come Fly with Me - Frank Sinatra,Come Fly with Me,Safe
Brant & Peta,"27 ( 9 , 9 , 9 )",Quickstep,Crazy in Love - Emeli Sandé and The Bryan Ferry Orchestra,The Great Gatsby,Safe
Valerie & Tristan,"16 ( 6 , 5 , 5 )",Cha-cha-cha,Grace Kelly - Mika,Grace Kelly & Freddie Mercury,Safe
Bill E. & Emma,"24 ( 8 , 8 , 8 )",Paso doble,William Tell Overture - Gioachino Rossini,The Lone Ranger,Safe
Amber & Derek,"24 ( 8 , 8 , 8 )",Charleston,Bang Bang - will.i.am,The Great Gatsby,Safe
Jack & Cheryl,"22 ( 7 , 7 , 8 )",Cha-cha-cha,Hollywood Swinging - Kool & the Gang,Be Cool,Safe
Christina & Mark,"26 ( 9 , 8 , 9 )",Charleston,Let Me Drown - The Wild Party,Vaudeville,Last to be called safe
Nicole & Sasha,"25 ( 9 , 8 , 8 )",Quickstep,Sparkling Diamonds - Nicole Kidman,Gentlemen Prefer Blondes,Safe
Bill N. & Tyne,"16 ( 6 , 5 , 5 )",Jazz,Get Lucky - Daft Punk feat . Pharrell Williams,Tron : Legacy,Eliminated
