Site,Municipality,Ref
Uku-matsubara Site 宇久松原遺跡 Uku-matsubara iseki,Sasebo,[ 33 ]
Iki Kokubun-ji Site 壱岐国分寺 跡 Iki Kokubunji ato,Iki,[ 34 ]
Sainoyama Kofun サイノヤマ古墳 Sainoyama kofun,Tsushima,[ 35 ]
Iki Province Ankoku-ji Site 壱岐国安国寺 跡 Iki-no-kuni Ankokuji ato,Iki,[ 36 ]
Ōtsukayama Kofun 大塚山古墳 Ōtsukayama kofun,Iki,[ 37 ]
Tsushima Entsū-ji Sōke Grave Site 対馬円通寺宗家墓地 Tsushima Entsūji sōke bochi,Tsushima,[ 38 ]
Tsushima Domain Shipyard Site 対馬藩お船江跡 Tsushima-han ofunae ato,Tsushima,[ 39 ]
Kamenoo Castle Site 亀丘城跡 Kamenoo-jō ato,Iki,[ 40 ]
Battle of Kōan Setoura Historic Battlefield 弘安の役瀬戸浦古戦場 Kōan-no-eki Setoura kosenjō,Iki,[ 41 ]
Deizuka Kofun 出居塚古墳 Deizuka kofun,Iki,[ 42 ]
Battle of Bun'ei Shinjō Historic Battlefield 文永の役新城古戦場 Bunei-no-eki Shinjō kosenjō,Iki,[ 43 ]
Ishita Castle Site 石田城 跡 Ishita-jō ato,Gotō,[ 44 ]
Shirahama Shell Mound 白浜貝塚 Shirahama kaizuka,Gotō,[ 45 ]
Yamasaki Stone Fortress 富江町・山崎の石塁 Tomie-chō Yamasaki no sekirui,Gotō,[ 46 ]
Hinoshima Stone Pagodas 日島 の石塔群 Hinoshima sekitō-gun,Shin-Kamigotō,[ 47 ]
Yorigami Shell Mound 寄神貝塚 Yorigami kaizuka,Gotō,[ 48 ]
Gotō Hexagonal Well 六角井 rokkaku ido,Gotō,[ 49 ]
Kawatana Kirishitan Tombstone 川棚町のキリシタン墓碑 Kawatana-chō no kirishitan bohi,Kawatana,[ 50 ]
Sonogi Kofun 彼杵の古墳 Sonogi no kofun,Higashisonogi,[ 51 ]
Chieji-Nobori Kiln Site 智惠治登窯跡 Chieji-Nobori gama ato,Hasami,[ 52 ]
