Title,Publisher,Release Date,CERO
New Super Mario Bros,Nintendo,"April 2 , 2015",A
Yawaraka Atama Juku,Nintendo,"April 2 , 2015",A
Yoshi Island DS,Nintendo,"April 8 , 2015",A
Sawaru Made in Wario,Nintendo,"April 15 , 2015",A
Mario & Luigi RPG 2×2,Nintendo,"June 10 , 2015",A
Donkey Kong : Jungle Climber,Nintendo,"July 8 , 2015",A
Tōhoku Daigaku Mirai Kagaku Gijutsu Kyōdō Kenkyū Center : Kawashima Ryūta Kyōju Kanshū - Nou wo Kitaeru Otona no DS Training,Nintendo,"August 5 , 2015",A
Hoshi no Kirby : Sanjō ! Dorotche Dan,Nintendo,"September 9 , 2015",A
Metroid Prime Hunters,Nintendo,"September 30 , 2015",A
Kaitō Wario the Seven,Nintendo,"October 7 , 2015",A
Super Mario 64 DS,Nintendo,"January 6 , 2016",A
Touch ! Kirby,Nintendo,"February 3 , 2016",A
Fire Emblem : Shin Ankoku Ryū to Hikari no Ken,Nintendo,"February 10 , 2016",A
Atsumete ! Kirby,Nintendo,"March 2 , 2016",A
Pokémon Fushigi no Danjon : Ao no Kyūjotai,The Pokémon Company,"March 23 , 2016",A
Pokémon Ranger,The Pokémon Company,"April 13 , 2016",A
Famicom Wars DS,Nintendo,"April 20 , 2016",A
Mario Party DS,Nintendo,"April 27 , 2016",A
Mario Basket 3on3,Nintendo,"May 11 , 2016",A
Catch ! Touch ! Yoshi !,Nintendo,"May 18 , 2016",A
