Region,GDP ( PPP ) per capita,Comparable country
Arica and Parinacota,"9,848",Bosnia and Herzegovina
Tarapacá,"27,604",Slovakia
Antofagasta,"63,402",Norway
Atacama,"27,882",Slovakia
Coquimbo,"14,800",Palau
Valparaíso,"17,009",Mexico
Santiago,"24,224",Kazakhstan
O'Higgins,"17,985",Belarus
Maule,"10,620",Egypt
Biobío,"12,582",Maldives
Araucanía,"8,376",El Salvador
Los Ríos,"11,711",Mongolia
Los Lagos,"13,335",Colombia
Aisén,"19,851",Gabon
Magallanes,"18,447",Mauritius
Chile,"22,059",Antigua and Barbuda
