,Team,Nation
1,Rabo-Liv,Netherlands
2,Orica-AIS,Australia
3,Boels-Dolmans,Netherlands
4,Specialized-lululemon,United States
5,Hitec Products,Norway
6,Wiggle-Honda,Great Britain
7,Giant-Shimano,Netherlands
8,Alé Cipollini,Italy
9,RusVelo,Russia
10,Astana BePink Womens Team,Italy
11,Estado De Mexico Faren,Mexico
12,Lotto-Belisol Ladies,Belgium
13,Optum p/b Kelly Benefit Strategies,United States
14,Bizkaia-Durango,Spain
15,Bigla Cycling Team,Switzerland
16,Servetto Footon,Italy
17,Top Girls Fassa Bortolo,Italy
18,S.C. Michela Fanini Rox,Italy
19,UnitedHealthcare Women 's Team,United States
20,Lointek,Spain
