Year,Title,Role
1983,Eddie Macon 's Run,Man in Bar
1984,The Beniker Gang,Principal Stoddard
1985,Right to Kill ?,Maj. Eckworth
1985,Hard Choices,Deputy Anderson
1986,Hannah and Her Sisters,Ed Smythe
1986,Power,Jerome Cade
1987,Tin Men,Wing
1987,House of Games,The Businessman / Cop
1987,"Good Morning , Vietnam",Sgt . Major Dickerson
1988,Things Change,Hotel Manager
1988,Tequila Sunrise,DEA Agent Hal Maguire
1989,The Big Picture,Allen Habel
1989,Wired,Bob Woodward
1989,Dad,Dr. Santana
1990,Why Me ?,Francis Mahoney
1990,Crazy People,Mr. Drucker
1990,The Grifters,Cole
1990,Narrow Margin,Michael Tarlow
1990,Misery,State Trooper Sherman Douglas
1990,The Russia House,Colonel Jackson Quinn
