Teams,Win,Loss,Total,Year ( s ) won,Year ( s ) lost
Minnesota Lynx,4,2,6,"2011 , 2013 , 2015 , 2017","2012 , 2016"
Houston Comets ( folded in 2008 ),4,0,4,"1997 , 1998 , 1999 , 2000",-
Los Angeles Sparks,3,2,5,"2001 , 2002 , 2016","2003 , 2017"
Phoenix Mercury,3,1,4,"2007 , 2009 , 2014",1998
Detroit Shock ( now Dallas Wings ),3,1,4,"2003 , 2006 , 2008",2007
Seattle Storm,3,0,3,"2004 , 2010 , 2018",-
Indiana Fever,1,2,3,2012,"2009 , 2015"
Sacramento Monarchs ( folded in 2009 ),1,1,2,2005,2006
Washington Mystics,1,1,2,2019,2018
New York Liberty,0,4,4,-,"1997 , 1999 , 2000 , 2002"
Atlanta Dream,0,3,3,-,"2010 , 2011 , 2013"
Connecticut Sun,0,3,3,-,"2004 , 2005 , 2019"
Chicago Sky,0,1,1,-,2014
San Antonio Stars ( now Las Vegas Aces ),0,1,1,-,2008
Charlotte Sting ( folded in 2006 ),0,1,1,-,2001
