University,Year of establishment,Students,Location
Heidelberg University,1386,"31,500",Heidelberg
Leipzig University,1409,"29,500",Leipzig
University of Rostock,1419,"14,000",Rostock
University of Greifswald,1456,"12,000",Greifswald
University of Freiburg,1457,"24,700",Freiburg
University of Munich,1472,"50,918",Munich
University of Tübingen,1477,"28,700",Tübingen
University of Halle-Wittenberg,1502,"18,500",Halle
University of Marburg,1527,"24,000",Marburg
University of Jena,1558,"19,000",Jena
