Name,Year,Invention,NJ affiliation
David Cushman,1989,captopril,Bristol-Myers Squibb
Miguel Ondetti,1989,captopril,Bristol-Myers Squibb
Dave Narasimhan,1989,,AlliedSignal
Raymond W. Ketchledge,1989,,Bell Labs
Liang Tai Wu,1995,asynchronous transfer mode,Bell Communications Research
John B. MacChesney,1995,optical communications,Bell Labs
James Edward Maceo West,1995,electret microphone,Bell Labs
Bishnu Atal,2000,linear predictive coding,Bell Labs
Philip Warren Anderson,2001,,Bell Labs
Irwin Gerszberg,2002,Innovations in DSL and Telco Plant,AT & T Labs
Hossein Eslambolchi,2002,,Bell Labs
Robert Morris ( cryptographer ),2004,cryptography,Bell Labs
Yeheskel Bar-Ness,2006,,New Jersey Institute of Technology
Sidney Pestka,2008,interferon,Hoffman-La Roche
Gianluca Paladini,2011,volume visualization,Siemens
Comaniciu,2011,robust object tracking,Siemens
Paula Tallal,2012,educational software innovations,Rutgers University
Bruce McNair,2012,,
Sergei Kotenko,2012,,
Nirwan Ansari,2012,,
