Rank,Athlete,Nationality,Time
1,Jim Wilson,Scotland,55:06
2,Christopher Vose,England,55:33
3,Wally Freeman,England,55:52
4,Charles Clibbon,England,56:26
5,Larry Cummins,Ireland,56:27
6,Bobby Mills,England,56:40
7,Lucien Duquesne,France,57:05
8,Tim Crowe,Ireland,57:11
9,Percy Hodge,England,57:15
10,J. Moran,Ireland,57:18
11,Louis Bouchard,France,57:25
12,Anton Hegarty,Ireland,57:30
13,Louis Corlet,France,57:31
14,James Hatton,England,57:35
15,Alf Pepper,England,57:37
16,John Martin,Ireland,57:41
17,Joe Blewitt,England,57:43
18,Angus Kerr,Scotland,57:44
19,J. Beattie,Ireland,57:47
20,Archie Craig Sr,Scotland,57:49
