Rank,Name,Nation,Total Points,SP,FS
1,Shion Kokubun,Japan,144.36,2,2
2,Ekaterina Kozyreva,Russia,143.10,4,1
3,Katarina Gerbolt,Russia,137.98,1,3
4,Tuğba Karademir,Turkey,130.88,3,4
5,Tamar Katz,Israel,126.33,5,5
6,Anette Dytrt,Germany,116.30,6,6
7,Teodora Poštič,Slovenia,101.67,7,9
8,Sonia Radeva,Bulgaria,98.49,10,7
9,Marina Seeh,Serbia,93.74,11,8
10,Mirna Libric,Croatia,87.66,8,11
11,Katherina Hadford,Hungary,83.71,12,10
12,Maria Dikanovic,Croatia,74.59,13,12
13,Manuela Stanukova,Bulgaria,70.42,15,13
WD,Fleur Maxwell,Luxembourg,,9,
WD,Ksenija Jastsenjski,Serbia,,14,
WD,Victoria Muniz,Puerto Rico,,,
