,Name on the Register,Date listed,Location,City or town
1,Ailes House,"April 9 , 1991 ( # 91000420 )",Rhymes Rd . near its junction with Mississippi Highway 27 32°01′30″N 90°22′15″W / 32.025°N 90.370833°W / 32.025 ; -90.370833 ( Ailes House ),Crystal Springs
2,Alford-Little House,"October 19 , 1982 ( # 82000573 )",South of Georgetown off Mississippi Highway 27 31°47′35″N 90°08′45″W / 31.793056°N 90.145833°W / 31.793056 ; -90.145833 ( Alford-Little House ),Georgetown
3,Bayou Pierre Bridge,"June 10 , 2005 ( # 05000565 )",Mississippi Highway 18 32°00′10″N 90°41′23″W / 32.002778°N 90.689722°W / 32.002778 ; -90.689722 ( Bayou Pierre Bridge ),Carpenter
4,Brewer Place,"January 19 , 2016 ( # 15000983 )",3101 Utica Rd . 32°00′08″N 90°22′31″W / 32.002259°N 90.375290°W / 32.002259 ; -90.375290 ( Brewer Place ),Crystal Springs
5,Carpenter United Methodist Church,"June 28 , 1996 ( # 96000705 )","Carpenter Rd. , 1.1 miles north of its junction with Mississippi Highway 18 32°02′08″N 90°40′53″W / 32.035556°N 90.681389°W / 32.035556 ; -90.681389 ( Carpenter United Methodist Church )",Utica
6,Cherry Grove,"August 10 , 1990 ( # 90001224 )","Old U.S. Route 51 , north of its junction with Mississippi Highway 27 32°02′32″N 90°19′20″W / 32.042222°N 90.322222°W / 32.042222 ; -90.322222 ( Cherry Grove )",Crystal Springs
7,Cook House,"December 8 , 1983 ( # 83003941 )",222 Extension St. 31°51′32″N 90°23′48″W / 31.858889°N 90.396667°W / 31.858889 ; -90.396667 ( Cook House ),Hazlehurst
8,George Washington Copley House,"March 1 , 1996 ( # 96000181 )",210 Copley St. 31°59′07″N 90°21′43″W / 31.985278°N 90.361944°W / 31.985278 ; -90.361944 ( George Washington Copley House ),Crystal Springs
9,Robert L. Covington House,"March 1 , 1984 ( # 84002139 )",240 S. Extension St. 31°51′23″N 90°23′50″W / 31.856389°N 90.397222°W / 31.856389 ; -90.397222 ( Robert L. Covington House ),Hazlehurst
10,Crystal Springs Historic District,"March 14 , 1997 ( # 97000236 )","Roughly bounded by Independence , Pearl , Newton , and Marion Sts . 31°59′14″N 90°21′28″W / 31.987222°N 90.357778°W / 31.987222 ; -90.357778 ( Crystal Springs Historic District )",Crystal Springs
11,Isaac Newton Ellis House,"November 2 , 1987 ( # 87001914 )",258 S. Extension St. 31°51′19″N 90°23′49″W / 31.855278°N 90.396944°W / 31.855278 ; -90.396944 ( Isaac Newton Ellis House ),Hazlehurst
12,Gallman Historic District,"March 31 , 1986 ( # 86000832 )",Roughly U.S. Route 51 and Church St. 31°55′53″N 90°23′27″W / 31.931389°N 90.390833°W / 31.931389 ; -90.390833 ( Gallman Historic District ),Gallman
13,Gatesville Bridge,"November 16 , 1988 ( # 88002482 )",Spans the Pearl River on a county road east of Gatesville 31°59′46″N 90°13′26″W / 31.996111°N 90.223889°W / 31.996111 ; -90.223889 ( Gatesville Bridge ),Gatesville
14,Georgetown Methodist Church,"January 19 , 2016 ( # 15000984 )",1002 Lane Ave. 31°52′19″N 90°09′46″W / 31.871970°N 90.162709°W / 31.871970 ; -90.162709 ( Georgetown Methodist Church ),Georgetown
15,Hargrave House,"April 5 , 1993 ( # 91001465 )","Mississippi Highway 28 , 14 miles west of Hazlehurst 31°45′04″N 90°34′55″W / 31.751111°N 90.581944°W / 31.751111 ; -90.581944 ( Hargrave House )",Hazlehurst
16,Hazlehurst Historic District,"November 5 , 1998 ( # 98001336 )","Roughly bounded by S. Extension , Georgetown , Gallatin , and Monticello Sts . 31°51′40″N 90°23′41″W / 31.861111°N 90.394722°W / 31.861111 ; -90.394722 ( Hazlehurst Historic District )",Hazlehurst
17,Homochitto River Bridge,"November 16 , 1988 ( # 88002491 )",Spans the Homochitto River on a county road 31°42′48″N 90°40′01″W / 31.713333°N 90.666944°W / 31.713333 ; -90.666944 ( Homochitto River Bridge ),Hazlehurst
18,Charles Morris Huber House,"November 10 , 1994 ( # 94001306 )",199 N. Jackson St. 31°59′29″N 90°21′11″W / 31.991389°N 90.353056°W / 31.991389 ; -90.353056 ( Charles Morris Huber House ),Crystal Springs
19,Illinois Central Railroad Passenger Depot,"March 1 , 1996 ( # 96000182 )",138 N. Ragsdale Ave. 31°51′39″N 90°23′39″W / 31.860833°N 90.394167°W / 31.860833 ; -90.394167 ( Illinois Central Railroad Passenger Depot ),Hazlehurst
20,Dr. William Little House,"March 4 , 1993 ( # 93000143 )",1022 Collier St. 31°41′52″N 90°23′47″W / 31.697778°N 90.396389°W / 31.697778 ; -90.396389 ( Dr. William Little House ),Wesson
